essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	24	0.000495	0.004268	0.008150	0.013158	0.009888	0.027930	0.000495	0.004345	0.000724	0.005206	0.009494	0.010486	0.009781	0.014513	0.000725	0.005291
0.526316	24	0.000551	0.004192	0.028458	0.018565	0.030718	0.041945	0.000551	0.004312	0.000852	0.005436	0.024620	0.011696	0.024099	0.016294	0.000854	0.005509
0.552632	24	0.000768	0.004198	0.063254	0.021313	0.067857	0.058972	0.000769	0.004395	0.001351	0.005170	0.021699	0.012560	0.021283	0.010455	0.001353	0.005262
0.578947	24	0.000490	0.004240	0.121960	0.022942	0.123098	0.073123	0.000490	0.004332	0.000724	0.005301	0.022661	0.012451	0.022685	0.007410	0.000728	0.005377
0.605263	24	0.002460	0.004860	0.150199	0.020383	0.165876	0.080438	0.002462	0.005425	0.005964	0.005782	0.053853	0.011530	0.020178	0.006238	0.005967	0.006127
0.631579	24	0.007897	0.005752	0.149604	0.021095	0.200552	0.083408	0.007894	0.007399	0.012304	0.006137	0.080614	0.013468	0.019439	0.006579	0.012301	0.006814
0.657895	24	0.015046	0.006764	0.128360	0.017450	0.229609	0.083543	0.015047	0.009880	0.016190	0.007104	0.097839	0.012252	0.022291	0.007224	0.016194	0.007455
0.684211	24	0.014118	0.007079	0.167360	0.020607	0.264193	0.086615	0.014118	0.010073	0.012817	0.007122	0.083129	0.012407	0.021330	0.006803	0.012820	0.007187
0.710526	24	0.016313	0.008097	0.182179	0.023164	0.292689	0.087932	0.016308	0.011384	0.014064	0.007923	0.109941	0.016035	0.018389	0.008553	0.014062	0.007682
0.736842	24	0.012484	0.008094	0.242170	0.022497	0.315136	0.090183	0.012483	0.010585	0.013742	0.008414	0.092023	0.015231	0.019114	0.008728	0.013743	0.008424
0.763158	24	0.031751	0.010387	0.162835	0.020774	0.347223	0.081035	0.031749	0.015599	0.015697	0.009618	0.101069	0.014026	0.010915	0.008742	0.015703	0.008295
0.789474	24	0.028617	0.010655	0.218477	0.021383	0.364788	0.082775	0.028619	0.015464	0.017233	0.009657	0.117694	0.014316	0.013986	0.009438	0.017238	0.008266
0.815789	24	0.035783	0.012636	0.234134	0.029644	0.387957	0.079950	0.035786	0.017707	0.016946	0.011132	0.086444	0.018973	0.017986	0.009493	0.016958	0.009750
0.842105	24	0.043205	0.012226	0.241281	0.028950	0.409353	0.076110	0.043204	0.018139	0.018264	0.008945	0.108164	0.017673	0.012948	0.009276	0.018271	0.006944
0.868421	24	0.051950	0.013353	0.244126	0.030239	0.422634	0.072989	0.051951	0.019969	0.020886	0.011336	0.127537	0.017310	0.018175	0.009863	0.020901	0.009324
0.894737	24	0.049492	0.015044	0.327396	0.029986	0.438235	0.072548	0.049492	0.020953	0.014688	0.011074	0.061633	0.018763	0.011584	0.006140	0.014700	0.008917
0.921053	24	0.047339	0.016630	0.392809	0.034621	0.453664	0.074156	0.047336	0.021859	0.017837	0.011465	0.039391	0.020896	0.011799	0.007582	0.017842	0.009546
0.947368	24	0.049916	0.016164	0.420787	0.029859	0.463556	0.073468	0.049922	0.021746	0.024202	0.012330	0.045089	0.018612	0.013221	0.008731	0.024216	0.010523
0.973684	24	0.051998	0.017877	0.465760	0.030789	0.482971	0.072958	0.051992	0.023123	0.018816	0.011354	0.040183	0.020665	0.017124	0.007524	0.018825	0.009518
1.000000	24	0.045373	0.016265	0.518394	0.026854	0.508984	0.074768	0.045365	0.021531	0.013242	0.012087	0.034587	0.017334	0.016023	0.005858	0.013248	0.010065
