T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
10	0.00499	0.109887	0.015154	0.163497	0.01005	0.109906	0.122489	0.002993	0.093616	0.060916
20	0.106232	0.111126	0.035413	0.172377	0.174784	0.219607	0.247356	0.12238	0.105946	0.061232
30	0.179223	0.128772	0.056083	0.17394	0.210725	0.215602	0.251283	0.155256	0.116544	0.06448
40	0.235267	0.205152	0.167158	0.17107	0.249222	0.230514	0.253998	0.164094	0.180744	0.068862
50	0.273009	0.258799	0.24692	0.170655	0.281343	0.239131	0.254046	0.177193	0.355443	0.084946
60	0.31534	0.274049	0.264655	0.171084	0.29138	0.242821	0.253861	0.195728	0.414552	0.131199
70	0.341011	0.289262	0.272286	0.173096	0.304763	0.246167	0.260845	0.216448	0.434253	0.200661
80	0.358615	0.297204	0.282202	0.178404	0.336265	0.251203	0.277607	0.221473	0.444583	0.254869
90	0.371197	0.308108	0.311822	0.187812	0.370076	0.253298	0.316442	0.222441	0.448341	0.300982
100	0.381852	0.317897	0.338716	0.201249	0.417907	0.257587	0.348403	0.225171	0.4489	0.329715
110	0.391565	0.333898	0.361768	0.215254	0.4516	0.271757	0.3863	0.226827	0.450252	0.352283
120	0.401875	0.351661	0.377214	0.24208	0.468843	0.284647	0.398089	0.237837	0.456017	0.37291
130	0.416594	0.37763	0.385662	0.262139	0.481015	0.307262	0.403776	0.251874	0.461577	0.380789
140	0.438251	0.400317	0.390855	0.298391	0.484829	0.336433	0.413165	0.264271	0.464317	0.395976
150	0.469138	0.421392	0.384857	0.340261	0.485125	0.361502	0.42535	0.276819	0.468693	0.404066
160	0.496916	0.439918	0.402983	0.361524	0.486502	0.384913	0.434462	0.29609	0.46865	0.414766
170	0.524021	0.451406	0.412271	0.379945	0.486979	0.399206	0.446993	0.324884	0.482162	0.428401
180	0.526779	0.458909	0.423286	0.409751	0.489212	0.410377	0.457575	0.347438	0.49288	0.442843
190	0.539815	0.464785	0.435017	0.427639	0.495273	0.42031	0.45853	0.361779	0.496516	0.451872
200	0.552705	0.472974	0.449586	0.435818	0.497183	0.434817	0.465922	0.36881	0.498337	0.450187
210	0.563877	0.474833	0.45774	0.452513	0.499346	0.444131	0.471457	0.370879	0.501072	0.449715
220	0.564847	0.479103	0.470996	0.458223	0.498584	0.448752	0.46956	0.376517	0.50941	0.453505
230	0.567601	0.482126	0.471968	0.469319	0.502788	0.463375	0.470053	0.379686	0.509888	0.450173
240	0.570277	0.485661	0.484177	0.476531	0.500135	0.465225	0.468252	0.386414	0.517164	0.44756
250	0.566986	0.485362	0.494791	0.489115	0.499826	0.474706	0.477567	0.393653	0.525562	0.44762
260	0.570192	0.485697	0.499202	0.495869	0.499508	0.480055	0.48683	0.395729	0.52455	0.4528
270	0.569213	0.489115	0.503813	0.501781	0.502917	0.489637	0.489912	0.400211	0.535403	0.451489
280	0.566065	0.493136	0.505952	0.506431	0.499812	0.493175	0.497178	0.399806	0.544402	0.45347
290	0.568817	0.492639	0.510537	0.512101	0.507058	0.498946	0.505189	0.39967	0.547723	0.459967
300	0.571481	0.491932	0.514138	0.52192	0.502186	0.496452	0.510317	0.406704	0.555693	0.463322
310	0.571277	0.496576	0.520215	0.523419	0.503555	0.5009	0.50385	0.411107	0.56062	0.462371
320	0.573011	0.498348	0.520096	0.53103	0.505706	0.503615	0.501781	0.414764	0.562501	0.464859
330	0.575646	0.496321	0.524341	0.529414	0.504788	0.508676	0.50565	0.41498	0.565789	0.465166
340	0.568865	0.497519	0.522699	0.54212	0.50791	0.508503	0.518377	0.413767	0.561515	0.461501
350	0.571362	0.497362	0.526186	0.549622	0.513835	0.508812	0.525576	0.419419	0.561098	0.462012
360	0.572819	0.497021	0.526543	0.55889	0.512072	0.510716	0.529072	0.41963	0.559925	0.464045
370	0.569427	0.50163	0.532007	0.576145	0.512716	0.512626	0.528346	0.424007	0.56	0.464985
380	0.569302	0.511256	0.533332	0.608593	0.508062	0.514705	0.535989	0.423957	0.558455	0.469102
390	0.567436	0.508319	0.532666	0.625174	0.510482	0.520099	0.535643	0.429186	0.557994	0.468369
400	0.567298	0.511449	0.539693	0.669642	0.509065	0.51977	0.537289	0.431918	0.563567	0.470695
410	0.569828	0.521592	0.539702	0.70199	0.510229	0.519582	0.539289	0.436105	0.566329	0.46999
420	0.56756	0.529932	0.542238	0.745007	0.517259	0.521518	0.546797	0.434512	0.566942	0.478329
430	0.570627	0.532298	0.540539	0.770822	0.510172	0.522142	0.551645	0.437239	0.565848	0.479292
440	0.571981	0.536754	0.54242	0.793817	0.51427	0.522215	0.556815	0.438425	0.569012	0.475258
450	0.570831	0.537607	0.541548	0.809501	0.513757	0.524736	0.564917	0.444203	0.568574	0.477558
460	0.57505	0.535991	0.537687	0.819019	0.513225	0.525926	0.565059	0.446151	0.568741	0.47704
470	0.57906	0.53988	0.538454	0.824972	0.514377	0.530997	0.571809	0.448837	0.566636	0.487663
480	0.581902	0.551449	0.537561	0.82617	0.522008	0.53635	0.577501	0.453805	0.570363	0.483991
490	0.583409	0.55939	0.534592	0.832287	0.515295	0.536244	0.577738	0.453234	0.572729	0.483718
500	0.586129	0.56798	0.540044	0.838854	0.511226	0.53508	0.57609	0.45826	0.57634	0.481881
510	0.585564	0.581774	0.542841	0.847071	0.509561	0.534331	0.578434	0.458861	0.578379	0.479555
520	0.588093	0.606129	0.538402	0.850669	0.506296	0.530494	0.573958	0.458883	0.574908	0.480941
530	0.592044	0.633802	0.539512	0.856189	0.503719	0.532297	0.579281	0.462647	0.578888	0.473808
540	0.592314	0.664926	0.537843	0.853606	0.498925	0.533478	0.58101	0.466132	0.580979	0.471965
550	0.59101	0.691326	0.539047	0.859295	0.499704	0.538453	0.581358	0.471115	0.578999	0.475208
560	0.595903	0.729552	0.540969	0.873038	0.497655	0.540019	0.580408	0.474427	0.583927	0.47584
570	0.597484	0.74766	0.539747	0.87381	0.497091	0.539637	0.581459	0.477338	0.584027	0.47456
580	0.59109	0.772048	0.541607	0.879459	0.501626	0.540737	0.579966	0.479077	0.581117	0.48103
590	0.588307	0.788469	0.545069	0.882205	0.501221	0.544332	0.577652	0.479581	0.58164	0.486549
600	0.591698	0.797496	0.544503	0.890367	0.50616	0.553506	0.57455	0.484221	0.581288	0.488209
610	0.593274	0.80212	0.542308	0.901868	0.506592	0.55906	0.570362	0.490513	0.581605	0.487522
620	0.590406	0.808188	0.541049	0.911147	0.511843	0.573673	0.575186	0.507476	0.583258	0.491267
630	0.591058	0.816115	0.541844	0.914472	0.513386	0.583465	0.577938	0.515815	0.583534	0.48874
640	0.592656	0.818804	0.538906	0.924945	0.511536	0.602594	0.581023	0.524758	0.584086	0.494863
650	0.592242	0.820658	0.539893	0.931397	0.514247	0.617043	0.583619	0.529734	0.581322	0.510305
660	0.589927	0.822882	0.538639	0.93811	0.513868	0.657473	0.588289	0.54286	0.581289	0.518619
670	0.591818	0.828611	0.538532	0.940878	0.518506	0.670653	0.589284	0.547739	0.578361	0.526994
680	0.590496	0.825377	0.53931	0.943572	0.52712	0.703995	0.589806	0.550534	0.576351	0.535227
690	0.586067	0.828968	0.54008	0.949786	0.52447	0.748909	0.587146	0.555217	0.578627	0.546655
700	0.584715	0.831338	0.541212	0.952908	0.529921	0.773342	0.588409	0.5609	0.57983	0.565171
710	0.585343	0.842102	0.542201	0.955764	0.529485	0.802777	0.588348	0.567598	0.576483	0.569327
720	0.585458	0.839518	0.543447	0.95754	0.529978	0.821828	0.589975	0.574024	0.577288	0.581405
730	0.586287	0.837561	0.538282	0.960309	0.53223	0.821159	0.585509	0.584109	0.581013	0.584752
740	0.588446	0.850299	0.542475	0.961399	0.530285	0.832658	0.585038	0.589323	0.58412	0.607961
750	0.589719	0.860335	0.558854	0.963826	0.529944	0.839963	0.591412	0.591723	0.584236	0.626027
760	0.589016	0.868765	0.582054	0.966913	0.530548	0.842576	0.591642	0.595051	0.584337	0.645951
770	0.590788	0.876425	0.609058	0.969613	0.529755	0.844199	0.589003	0.599191	0.583212	0.663555
780	0.590096	0.876965	0.642765	0.973177	0.527256	0.849466	0.585182	0.598129	0.579802	0.676295
790	0.587586	0.879221	0.698345	0.973836	0.526448	0.851422	0.585961	0.596237	0.579708	0.699906
800	0.586811	0.880624	0.752543	0.973645	0.528417	0.854338	0.586707	0.602724	0.578568	0.731538
810	0.587093	0.892398	0.788202	0.976485	0.528975	0.865429	0.589082	0.599766	0.576634	0.768502
820	0.586635	0.899637	0.816787	0.981746	0.53111	0.869889	0.584975	0.606418	0.577119	0.80977
830	0.587455	0.905511	0.835113	0.986864	0.539473	0.873308	0.581977	0.607432	0.579492	0.856866
840	0.588037	0.91399	0.84737	0.986905	0.552646	0.877648	0.583849	0.612896	0.58006	0.887726
850	0.586061	0.915055	0.850217	0.986614	0.560577	0.885667	0.579625	0.611735	0.583546	0.917759
860	0.584191	0.918059	0.856003	0.985615	0.570961	0.894861	0.582948	0.611796	0.584918	0.929973
870	0.584585	0.920802	0.86222	0.988267	0.578817	0.900214	0.582422	0.615774	0.583496	0.936139
880	0.582052	0.92524	0.867251	0.988975	0.586418	0.907378	0.578136	0.614506	0.582553	0.946579
890	0.583327	0.927875	0.867675	0.98952	0.588808	0.912207	0.578969	0.618332	0.581672	0.947411
900	0.582198	0.932778	0.875148	0.989136	0.602708	0.921578	0.582056	0.618835	0.581818	0.958297
910	0.584691	0.936998	0.877268	0.989308	0.607508	0.923966	0.581481	0.623754	0.582287	0.962306
920	0.586195	0.942521	0.879825	0.988881	0.618352	0.933811	0.586104	0.62871	0.585028	0.964414
930	0.584135	0.948711	0.883934	0.988739	0.629028	0.936666	0.585134	0.626441	0.583119	0.969211
940	0.5855	0.950121	0.893687	0.98654	0.643351	0.942748	0.583908	0.633599	0.580637	0.973893
950	0.584304	0.952721	0.901492	0.9878	0.657097	0.948631	0.585062	0.642299	0.588363	0.972422
960	0.585144	0.956638	0.90198	0.987584	0.66413	0.948885	0.588286	0.653496	0.588481	0.974207
970	0.582141	0.960496	0.894318	0.987459	0.684314	0.948704	0.588217	0.648918	0.588656	0.977414
980	0.588429	0.962763	0.895149	0.986125	0.694026	0.953042	0.583898	0.651511	0.596091	0.977722
990	0.58682	0.966909	0.901984	0.984379	0.706664	0.95956	0.584192	0.656394	0.602774	0.978591
1000	0.58956	0.97005	0.908279	0.984156	0.741511	0.966476	0.584121	0.668341	0.613217	0.978107
1010	0.589148	0.970393	0.908143	0.983487	0.766604	0.964292	0.589474	0.673295	0.621935	0.978623
1020	0.590475	0.973545	0.910456	0.983649	0.786856	0.967624	0.591546	0.683103	0.627767	0.979827
1030	0.596962	0.97287	0.908632	0.983212	0.809737	0.974194	0.591661	0.690736	0.6425	0.980831
1040	0.595603	0.971877	0.923316	0.983993	0.838222	0.977126	0.589056	0.696529	0.654298	0.981412
1050	0.595228	0.971925	0.931979	0.983978	0.857157	0.979626	0.590946	0.704242	0.666841	0.982108
1060	0.601518	0.971811	0.939974	0.984515	0.873092	0.98205	0.593259	0.714761	0.684166	0.981614
1070	0.606978	0.975756	0.93796	0.984792	0.890877	0.979732	0.596312	0.733502	0.7008	0.982671
1080	0.618238	0.976349	0.946419	0.984198	0.8984	0.981947	0.597212	0.751706	0.728085	0.983264
1090	0.622245	0.977988	0.951052	0.983679	0.911446	0.983439	0.601389	0.760786	0.754687	0.984398
1100	0.631968	0.977982	0.952357	0.983178	0.92645	0.984739	0.608498	0.773279	0.779717	0.981798
1110	0.654904	0.977226	0.956576	0.982418	0.938081	0.985505	0.621267	0.776634	0.808385	0.981569
1120	0.692038	0.977495	0.957145	0.98331	0.944492	0.986403	0.626946	0.788017	0.827815	0.980068
1130	0.731729	0.976857	0.954871	0.982731	0.945704	0.988016	0.6372	0.799362	0.848311	0.979004
1140	0.779914	0.977195	0.960301	0.983234	0.948335	0.989748	0.68127	0.819791	0.858513	0.979353
1150	0.833479	0.977665	0.968004	0.983751	0.947637	0.989916	0.700464	0.838952	0.859744	0.980838
1160	0.878295	0.975115	0.973116	0.984345	0.951795	0.991456	0.727831	0.858477	0.864146	0.981206
1170	0.895855	0.974719	0.972779	0.984804	0.950364	0.992965	0.743687	0.882894	0.868624	0.983117
1180	0.902426	0.974502	0.972065	0.984559	0.952834	0.993387	0.764875	0.896015	0.872209	0.984147
1190	0.910871	0.978838	0.974602	0.982884	0.956196	0.994976	0.775896	0.911497	0.878575	0.983614
1200	0.912569	0.978799	0.975872	0.981778	0.956022	0.994153	0.789969	0.918936	0.884899	0.983586
1210	0.918733	0.977114	0.97876	0.98246	0.958197	0.994671	0.800499	0.923834	0.892556	0.982163
1220	0.916869	0.976304	0.98037	0.982756	0.960152	0.993108	0.806864	0.929775	0.899668	0.984008
1230	0.922118	0.976318	0.983287	0.984783	0.960695	0.993311	0.817374	0.93813	0.904317	0.983063
1240	0.921942	0.975623	0.983153	0.984185	0.961894	0.994095	0.818702	0.939766	0.907737	0.982156
1250	0.923202	0.977066	0.984445	0.985772	0.962998	0.993392	0.824819	0.94161	0.914518	0.98372
1260	0.924578	0.976973	0.984924	0.985634	0.964422	0.992053	0.836127	0.942342	0.921792	0.983315
1270	0.926235	0.978893	0.98604	0.986466	0.961991	0.992703	0.838573	0.944745	0.928581	0.982295
1280	0.926866	0.978386	0.987236	0.985516	0.960782	0.993566	0.846342	0.944596	0.935058	0.981574
1290	0.930729	0.978475	0.987888	0.984799	0.959723	0.994866	0.852754	0.943421	0.942232	0.983622
1300	0.932594	0.97891	0.991984	0.984103	0.959184	0.995431	0.862668	0.944526	0.952411	0.985294
1310	0.935737	0.980486	0.99269	0.984502	0.959225	0.995288	0.866661	0.946559	0.968605	0.98451
1320	0.937484	0.982705	0.992997	0.985032	0.960526	0.995627	0.868604	0.94721	0.97102	0.98319
1330	0.93925	0.984183	0.991341	0.983748	0.961206	0.995801	0.868822	0.947456	0.975404	0.984624
1340	0.9403	0.984848	0.994734	0.982996	0.960394	0.994344	0.873851	0.948123	0.97707	0.984089
1350	0.944429	0.983958	0.99646	0.97977	0.960064	0.992663	0.875923	0.949777	0.978657	0.985103
1360	0.948785	0.984667	0.997677	0.977527	0.960689	0.994157	0.878388	0.949628	0.98074	0.983015
1370	0.949337	0.986135	0.997742	0.980002	0.962654	0.99339	0.885424	0.949848	0.987329	0.984608
1380	0.953449	0.985226	0.997105	0.981455	0.960404	0.993177	0.891491	0.952086	0.987333	0.984885
1390	0.956263	0.987027	0.995727	0.982271	0.962886	0.993159	0.890457	0.953832	0.990766	0.98475
1400	0.959499	0.986216	0.996651	0.986299	0.965604	0.993715	0.89519	0.953845	0.994194	0.985387
1410	0.960302	0.98706	0.996911	0.985314	0.966194	0.994002	0.903542	0.953897	0.995686	0.986641
1420	0.962154	0.98831	0.997275	0.985518	0.966684	0.994122	0.91062	0.955004	0.996668	0.986869
1430	0.962994	0.988261	0.997119	0.984813	0.967654	0.992298	0.916427	0.954942	0.99673	0.987265
1440	0.968147	0.989977	0.997459	0.984725	0.967435	0.992897	0.923978	0.956728	0.995457	0.985884
1450	0.968865	0.988935	0.998412	0.986987	0.968388	0.993165	0.932821	0.957152	0.99534	0.985933
1460	0.972167	0.989064	0.998196	0.988036	0.968113	0.993011	0.936897	0.95844	0.996118	0.985602
1470	0.97398	0.987981	0.997195	0.988227	0.969397	0.993605	0.936494	0.957807	0.996326	0.985312
1480	0.978158	0.988376	0.996033	0.987232	0.967612	0.992795	0.93706	0.959168	0.995138	0.984282
1490	0.976536	0.987247	0.995594	0.986628	0.966545	0.993386	0.93853	0.959899	0.994318	0.984493
1500	0.976563	0.988431	0.995544	0.987139	0.966936	0.992089	0.936382	0.960966	0.995226	0.984446
1510	0.979471	0.988435	0.994423	0.986678	0.967956	0.99239	0.943674	0.964184	0.993596	0.984972
1520	0.97825	0.989699	0.994201	0.987525	0.969508	0.990974	0.947968	0.962508	0.992198	0.985037
1530	0.979847	0.987513	0.995307	0.987181	0.97072	0.9924	0.953128	0.959908	0.993615	0.984894
1540	0.979063	0.987479	0.995633	0.986816	0.971597	0.992304	0.957635	0.959599	0.994339	0.985439
1550	0.975762	0.987499	0.996055	0.987612	0.970849	0.992989	0.958909	0.960748	0.995241	0.983544
1560	0.977213	0.989571	0.996002	0.987086	0.970571	0.994392	0.958951	0.960499	0.995384	0.984815
1570	0.973647	0.990931	0.994051	0.987255	0.970899	0.992991	0.961514	0.962936	0.995	0.985404
1580	0.976264	0.992418	0.997141	0.987954	0.970908	0.991726	0.962087	0.965038	0.996584	0.982898
1590	0.980166	0.992291	0.997617	0.987025	0.972097	0.991991	0.966006	0.96768	0.996074	0.983287
