essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.5	6	0.0012725	0.009118	0.0022005	0.0114435	0.0040005	0.0287895	0.001272	0.012152	0.000939	0.004407	0.0016315	0.0049645	0.0021425	0.0083205	0.000957	0.0056305
0.526316	6	0.002099	0.0110235	0.003123	0.012878	0.006179	0.0353295	0.0020985	0.015237	0.0014835	0.004939	0.0022425	0.005505	0.003244	0.0096725	0.001505	0.0063995
0.552632	6	0.005688	0.01482	0.0096265	0.019595	0.018516	0.058837	0.0056935	0.0230095	0.0047905	0.006077	0.0072625	0.006928	0.008987	0.0132195	0.0048145	0.00943
0.578947	6	0.0422205	0.0229935	0.0173675	0.0183165	0.0806285	0.1104505	0.0422075	0.0534615	0.0243055	0.009001	0.028274	0.009424	0.0130765	0.006854	0.0243345	0.021051
0.605263	6	0.102054	0.0302445	0.0019275	0.011714	0.1370175	0.1294595	0.1020455	0.083714	0.0108185	0.009687	0.001604	0.005486	0.0107225	0.00374	0.010971	0.0058675
0.631579	6	0.253869	0.036752	0.010334	0.0137755	0.1913305	0.127231	0.253863	0.0966835	0.197978	0.016096	0.020774	0.0118275	0.013045	0.026228	0.198029	0.0228235
0.657895	6	0.9780075	0.033913	0.1060375	0.048757	0.188163	0.0538	0.978008	0.0482055	0.016794	0.0126635	0.042806	0.0139335	0.014076	0.016212	0.0168125	0.01823
0.684211	6	0.979573	0.0314645	0.28954	0.0414095	0.330528	0.0264395	0.979574	0.043803	0.0218985	0.0175315	0.046869	0.0136375	0.0043825	0.0117125	0.021909	0.0248465
0.710526	6	0.9678885	0.032171	0.261867	0.034468	0.3314245	0.025612	0.9678755	0.05295	0.022024	0.0121265	0.0408705	0.0100865	0.002641	0.007722	0.022048	0.0185085
0.736842	6	0.985822	0.028862	0.295199	0.035353	0.333874	0.020824	0.9858165	0.039821	0.011334	0.013694	0.051675	0.0129065	0.0022175	0.0063435	0.011351	0.017441
0.763158	6	0.986592	0.0288285	0.27388	0.039197	0.3339485	0.0197785	0.9865915	0.0396565	0.008471	0.011588	0.029376	0.0127605	0.0017525	0.005726	0.0084905	0.014367
0.789474	6	0.985514	0.0277715	0.2840035	0.0450925	0.3345965	0.020336	0.9855085	0.039333	0.0109025	0.012363	0.038454	0.0174945	0.0017555	0.006265	0.0109275	0.0157055
0.815789	6	0.97301	0.040191	0.2873155	0.0370725	0.336834	0.025583	0.9730045	0.0550645	0.0200735	0.0180105	0.0314935	0.012408	0.0033795	0.0089995	0.0200905	0.0218845
0.842105	6	0.9057565	0.060188	0.312672	0.0354985	0.349784	0.049503	0.905762	0.0918195	0.064297	0.0274595	0.022315	0.0108465	0.0088885	0.013856	0.064306	0.0333185
0.868421	6	0.913891	0.0655795	0.466226	0.038603	0.482391	0.05106	0.9138985	0.0948995	0.041087	0.022343	0.0222025	0.0126605	0.008981	0.0124215	0.041119	0.023968
0.894737	6	0.981504	0.033532	0.475219	0.038721	0.496199	0.0252055	0.981496	0.0453785	0.0156825	0.0178605	0.0365275	0.011507	0.003238	0.0096105	0.0156915	0.0221005
0.921053	6	0.9890205	0.024956	0.4858535	0.0357335	0.49855	0.0189065	0.9890195	0.03479	0.0082685	0.0111575	0.0318705	0.011617	0.001773	0.006309	0.008286	0.0144335
0.947368	6	0.9912915	0.020952	0.4959455	0.040113	0.499402	0.0162285	0.99129	0.0301705	0.0066255	0.0093435	0.033807	0.0102625	0.00134	0.005473	0.006645	0.0123105
0.973684	6	0.9923105	0.0202905	0.4922225	0.040188	0.499487	0.0152365	0.992309	0.028784	0.0054055	0.0076715	0.029535	0.01303	0.001049	0.004718	0.005428	0.0106535
1	6	0.9938165	0.0187095	0.5039085	0.039511	0.5000405	0.0141145	0.9938135	0.0261245	0.0043255	0.007114	0.027433	0.012294	0.000905	0.0043525	0.0043485	0.009597
