essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.5,2,0.0026172,0.0145654,0.0008952,0.008085,0.001778,0.0297372,0.0026158,0.0493444,0.000916,0.0033192,0.0003366,0.0018586,0.0005688,0.005027,0.0010636,0.0106994
0.526316,2,0.0033446,0.0159688,0.000997,0.0083756,0.002125,0.032416,0.0033422,0.0556572,0.0012282,0.003625,0.0003676,0.0019318,0.0006652,0.0053358,0.0013738,0.0120796
0.552632,2,0.0036544,0.0164976,0.0012026,0.0091716,0.0024434,0.0348462,0.0036574,0.0582606,0.0014186,0.0036642,0.0004262,0.002001,0.0007574,0.0056662,0.0015586,0.0131474
0.578947,2,0.0041794,0.0183724,0.0013268,0.00965,0.0027358,0.036904,0.0041774,0.0626124,0.0013268,0.0037036,0.0004862,0.0020412,0.000799,0.0055882,0.0015038,0.0117554
0.605263,2,0.0055766,0.020822,0.0016892,0.010893,0.003592,0.0422646,0.005582,0.07242,0.0018982,0.004601,0.0006018,0.002301,0.0010158,0.0062256,0.0020586,0.0140716
0.631579,2,0.0084262,0.0258806,0.002335,0.0122358,0.0052298,0.0508852,0.0084314,0.0890184,0.002944,0.0053466,0.0008028,0.0024854,0.0014482,0.0072008,0.0031082,0.0173432
0.657895,2,0.025292,0.0452738,0.0043244,0.016231,0.0131584,0.0797058,0.0253022,0.1528822,0.0086208,0.0100644,0.0016098,0.00301,0.0036282,0.0109478,0.0087868,0.0269194
0.684211,2,0.9948642,0.0189926,0.3496112,0.1488236,0.4975964,0.033409,0.9948692,0.0666076,0.0031716,0.0072266,0.1836054,0.025526,0.0021202,0.015071,0.003243,0.0241954
0.710526,2,0.998019,0.0120014,0.5255404,0.1662546,0.4996988,0.017214,0.9980226,0.041016,0.0013532,0.0045584,0.2508422,0.0421486,0.000619,0.0072584,0.0014052,0.0166088
0.736842,2,0.9982862,0.0112454,0.5174232,0.1541122,0.4997402,0.0160764,0.9982852,0.0385298,0.0008314,0.003263,0.1341916,0.0490296,0.0003994,0.0055186,0.0009398,0.0118708
0.763158,2,0.9981706,0.0114162,0.4355702,0.152502,0.499644,0.0167466,0.9981774,0.0401736,0.000832,0.0030704,0.1380226,0.0378694,0.0003942,0.0054724,0.0009398,0.0114516
0.789474,2,0.9984556,0.0105066,0.4566388,0.1586746,0.4997598,0.0151856,0.9984564,0.0369774,0.000731,0.0028036,0.1758444,0.0514986,0.0004056,0.0054612,0.000832,0.0111746
0.815789,2,0.9987486,0.0095736,0.5090178,0.1764156,0.4998928,0.0137496,0.9987518,0.0333122,0.000515,0.002466,0.2064286,0.0586476,0.0003466,0.0047066,0.0006328,0.0095752
0.842105,2,0.9987378,0.0097608,0.4005724,0.1572398,0.4998008,0.0137754,0.9987366,0.033637,0.0004884,0.0024502,0.196969,0.0442802,0.0003106,0.0045364,0.0006132,0.009208
