essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	22	0.000488	0.004467	0.006290	0.011664	0.007822	0.025057	0.000488	0.004563	0.000668	0.005144	0.009219	0.009267	0.009389	0.013969	0.000670	0.005233
0.526316	22	0.000795	0.004845	0.023841	0.018634	0.027276	0.042492	0.000795	0.005015	0.001304	0.005445	0.020350	0.012641	0.020306	0.016020	0.001306	0.005585
0.552632	22	0.000818	0.004123	0.072340	0.023678	0.076230	0.064176	0.000819	0.004338	0.001607	0.004808	0.023079	0.013027	0.020205	0.009112	0.001611	0.004976
0.578947	22	0.000429	0.004085	0.129390	0.020918	0.130129	0.076750	0.000429	0.004169	0.000637	0.005014	0.017074	0.011732	0.017220	0.006290	0.000640	0.005112
0.605263	22	0.000930	0.004421	0.153571	0.020876	0.157669	0.081988	0.000930	0.004749	0.001413	0.004907	0.023678	0.011685	0.022666	0.006380	0.001414	0.004988
0.631579	22	0.011804	0.006643	0.137192	0.017204	0.195690	0.085110	0.011805	0.008824	0.018435	0.007001	0.086654	0.011565	0.016993	0.006871	0.018439	0.008272
0.657895	22	0.013724	0.006627	0.152303	0.016741	0.233185	0.088771	0.013725	0.009555	0.018790	0.006604	0.108703	0.010846	0.014011	0.008129	0.018790	0.007609
0.684211	22	0.027645	0.009763	0.151775	0.018452	0.257667	0.088458	0.027646	0.013624	0.033185	0.008857	0.122246	0.014109	0.019199	0.010820	0.033185	0.010330
0.710526	22	0.037251	0.010114	0.108407	0.022601	0.289588	0.084806	0.037254	0.016559	0.024246	0.008258	0.091915	0.015759	0.026393	0.007808	0.024259	0.007247
0.736842	22	0.025134	0.009437	0.175763	0.022067	0.323192	0.088977	0.025136	0.014244	0.019354	0.008320	0.126273	0.014128	0.017697	0.009998	0.019361	0.007969
0.763158	22	0.023282	0.010378	0.212731	0.022013	0.336169	0.090454	0.023285	0.014624	0.018963	0.009319	0.116492	0.014304	0.015257	0.010234	0.018971	0.009066
0.789474	22	0.028163	0.010138	0.230163	0.023472	0.366147	0.089005	0.028163	0.014939	0.023654	0.009008	0.128925	0.014988	0.016374	0.012653	0.023663	0.009041
0.815789	22	0.049500	0.011598	0.182466	0.029250	0.394109	0.077904	0.049499	0.019356	0.017433	0.009364	0.103744	0.018405	0.014254	0.007637	0.017444	0.007031
0.842105	22	0.062557	0.013703	0.174492	0.035027	0.408406	0.073385	0.062558	0.021970	0.018091	0.009755	0.093974	0.022385	0.013671	0.006591	0.018102	0.007254
0.868421	22	0.051624	0.015012	0.279587	0.034680	0.425678	0.077145	0.051633	0.021936	0.018494	0.010760	0.102274	0.017511	0.014346	0.007486	0.018505	0.008423
0.894737	22	0.062329	0.017103	0.308817	0.041004	0.439526	0.073654	0.062330	0.024448	0.020843	0.011821	0.093126	0.023629	0.012660	0.007798	0.020860	0.009159
0.921053	22	0.060994	0.020123	0.391719	0.033289	0.456467	0.073927	0.060995	0.026625	0.018072	0.013885	0.048199	0.019559	0.013547	0.006923	0.018087	0.011439
0.947368	22	0.060111	0.017394	0.400691	0.032076	0.460473	0.073355	0.060118	0.024455	0.015556	0.011857	0.039793	0.016697	0.010703	0.005409	0.015573	0.009322
0.973684	22	0.057471	0.016731	0.457814	0.031828	0.477399	0.074513	0.057470	0.023562	0.013900	0.010559	0.034356	0.018638	0.012501	0.005325	0.013912	0.008349
1.000000	22	0.045576	0.016319	0.497071	0.027913	0.497349	0.079220	0.045575	0.022292	0.011504	0.011511	0.031341	0.015045	0.015526	0.004786	0.011528	0.009360
