T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.001975	0.003950	0.125758	0.090904	0.190730	0.000141	0.000118	0.004056	0.002186	0.003433	
20	0.114908	0.052758	0.124724	0.090598	0.189542	0.015294	0.001105	0.086813	0.044200	0.087953	
30	0.115320	0.057378	0.124195	0.091245	0.186557	0.038816	0.012825	0.105269	0.039380	0.087201	
40	0.106338	0.057119	0.127016	0.094995	0.186122	0.038299	0.039404	0.091750	0.048549	0.086578	
50	0.098321	0.056896	0.125605	0.102882	0.182854	0.039756	0.056531	0.081476	0.076210	0.090645	
60	0.105551	0.057119	0.124630	0.105163	0.184288	0.052558	0.063914	0.082605	0.104081	0.089246	
70	0.110112	0.057331	0.125805	0.106045	0.188414	0.074282	0.064172	0.079501	0.125170	0.088658	
80	0.117306	0.057107	0.127721	0.104175	0.188214	0.089646	0.066511	0.094618	0.128932	0.087765	
90	0.119199	0.058694	0.125100	0.095735	0.192023	0.093043	0.070379	0.121656	0.131448	0.089070	
100	0.120116	0.058306	0.128274	0.093749	0.186862	0.094195	0.071472	0.116107	0.129238	0.087577	
110	0.121855	0.058412	0.128662	0.094230	0.183653	0.092056	0.070226	0.122067	0.133517	0.089117	
120	0.122020	0.063361	0.126275	0.089293	0.183653	0.090998	0.071602	0.133540	0.130308	0.092303	
130	0.124418	0.059564	0.127098	0.090245	0.176365	0.093537	0.071308	0.137584	0.131542	0.094289	
140	0.121150	0.059458	0.126099	0.093243	0.181032	0.090175	0.071496	0.148728	0.132741	0.091856	
150	0.123431	0.058835	0.127239	0.091280	0.183453	0.091539	0.070896	0.139618	0.131189	0.090680	
160	0.120186	0.060387	0.125629	0.091844	0.185604	0.092397	0.074188	0.143215	0.129908	0.092138	
170	0.121656	0.059294	0.125993	0.091962	0.181925	0.093937	0.073024	0.133646	0.132282	0.093760	
180	0.121221	0.061468	0.122866	0.089693	0.183465	0.093819	0.071202	0.138266	0.132717	0.090821	
190	0.121538	0.060446	0.123372	0.090069	0.180079	0.092244	0.072107	0.129814	0.132741	0.091633	
200	0.119234	0.058718	0.127251	0.090857	0.182266	0.093278	0.066006	0.130331	0.132412	0.090034	
210	0.122490	0.058565	0.126675	0.089564	0.180409	0.093502	0.068169	0.126746	0.130942	0.087377	
220	0.122373	0.058671	0.128250	0.089305	0.180079	0.099297	0.071672	0.119316	0.131236	0.091092	
230	0.124853	0.059787	0.128721	0.089987	0.177117	0.094807	0.079090	0.118352	0.130061	0.090210	
240	0.125558	0.062327	0.126875	0.092138	0.175460	0.095700	0.075622	0.122267	0.132306	0.093525	
250	0.122079	0.060046	0.126863	0.092620	0.169970	0.098768	0.074070	0.123983	0.133070	0.090739	
260	0.121961	0.062103	0.123572	0.094477	0.175789	0.096417	0.070743	0.121056	0.131201	0.089129	
270	0.124301	0.065019	0.128356	0.096429	0.174543	0.092103	0.069979	0.123149	0.131354	0.095218	
280	0.123583	0.066923	0.124865	0.094254	0.166561	0.094031	0.070732	0.131036	0.129532	0.098380	
290	0.126710	0.066500	0.129532	0.102165	0.165127	0.097933	0.070426	0.130566	0.130519	0.100919	
300	0.124524	0.068345	0.128967	0.105986	0.163634	0.098956	0.070367	0.133681	0.130648	0.096993	
310	0.125911	0.066206	0.128074	0.103917	0.161294	0.094912	0.069027	0.131812	0.132212	0.089987	
320	0.126358	0.068639	0.127134	0.102636	0.158556	0.095559	0.070896	0.122255	0.130672	0.087283	
330	0.126181	0.061727	0.126969	0.103341	0.156404	0.092350	0.068957	0.116354	0.132071	0.090974	
340	0.124277	0.064513	0.127498	0.104128	0.157098	0.092691	0.071778	0.116001	0.130025	0.088529	
350	0.123090	0.061539	0.130096	0.104881	0.158720	0.091480	0.069909	0.122232	0.135644	0.089234	
360	0.124159	0.061257	0.126840	0.106233	0.155452	0.093302	0.071366	0.126393	0.135115	0.090351	
370	0.126675	0.059823	0.127721	0.103564	0.158908	0.095735	0.072260	0.130531	0.133587	0.093995	
380	0.124594	0.058729	0.128274	0.103964	0.155076	0.092526	0.074728	0.128380	0.133858	0.092138	
390	0.124489	0.057977	0.123960	0.101342	0.155229	0.095441	0.073670	0.131542	0.129073	0.091950	
400	0.123478	0.056696	0.127569	0.104281	0.157039	0.092667	0.074446	0.130049	0.127380	0.094901	
410	0.122620	0.059070	0.126240	0.105092	0.155934	0.093384	0.070767	0.133129	0.131507	0.095183	
420	0.124336	0.059400	0.124959	0.103576	0.157133	0.094207	0.070544	0.133223	0.132541	0.105057	
430	0.126146	0.057460	0.127792	0.100919	0.158450	0.093196	0.071284	0.137455	0.129155	0.099614	
440	0.123631	0.061410	0.132941	0.101096	0.158908	0.093725	0.070931	0.137032	0.132788	0.094395	
450	0.124594	0.063867	0.127204	0.095300	0.155229	0.094372	0.069803	0.138501	0.134598	0.093854	
460	0.123631	0.059905	0.127674	0.093372	0.157427	0.095171	0.071014	0.137478	0.131836	0.090927	
470	0.123478	0.060446	0.126628	0.095876	0.155734	0.097593	0.069180	0.139559	0.130954	0.096488	
480	0.124148	0.064125	0.127333	0.098251	0.156569	0.094548	0.069744	0.138536	0.130907	0.100061	
490	0.125476	0.068181	0.127204	0.098886	0.156005	0.095288	0.070826	0.137490	0.131977	0.099755	
500	0.127298	0.069309	0.127921	0.108513	0.158062	0.096205	0.071355	0.135962	0.139923	0.100284	
510	0.125253	0.074599	0.125829	0.104575	0.157098	0.093737	0.073459	0.135398	0.145907	0.103047	
520	0.126781	0.070414	0.127427	0.098074	0.160472	0.093725	0.074105	0.141969	0.137079	0.105092	
530	0.124594	0.069826	0.123901	0.093760	0.157721	0.095900	0.073964	0.141334	0.130637	0.113909	
540	0.124042	0.062961	0.128638	0.093890	0.156357	0.094031	0.074446	0.141851	0.127686	0.109501	
550	0.128086	0.063643	0.127768	0.092620	0.157321	0.098392	0.071884	0.142133	0.128344	0.097722	
560	0.128568	0.070896	0.125511	0.087871	0.157110	0.097910	0.069403	0.145825	0.128227	0.093278	
570	0.131107	0.073870	0.128391	0.090586	0.159613	0.096805	0.071590	0.142768	0.126734	0.094560	
580	0.125276	0.065418	0.127239	0.087789	0.157439	0.100096	0.074141	0.146436	0.127745	0.095524	
590	0.125982	0.067135	0.126581	0.090786	0.157932	0.099779	0.074705	0.143791	0.129061	0.095994	
600	0.125147	0.063443	0.126734	0.092608	0.158109	0.100038	0.075269	0.143379	0.126487	0.100320	
610	0.126205	0.080453	0.129532	0.093173	0.155476	0.101107	0.076127	0.140546	0.126605	0.095453	
620	0.122725	0.084309	0.127228	0.089634	0.160989	0.097557	0.081711	0.140852	0.127510	0.099321	
630	0.122196	0.090457	0.127510	0.090422	0.163128	0.094019	0.079313	0.140923	0.128297	0.099991	
640	0.121573	0.083498	0.131436	0.090763	0.155911	0.095723	0.080300	0.143897	0.128638	0.096123	
650	0.123207	0.081382	0.130684	0.094501	0.156040	0.092961	0.080336	0.141828	0.128168	0.093854	
660	0.124159	0.072060	0.128885	0.090680	0.160107	0.092914	0.088177	0.143027	0.127710	0.094736	
670	0.120739	0.059164	0.129649	0.090198	0.157145	0.094560	0.088165	0.142792	0.127651	0.088800	
680	0.120515	0.069979	0.127510	0.090140	0.155311	0.095430	0.088447	0.141745	0.132141	0.089634	
690	0.124430	0.066194	0.127886	0.089470	0.157486	0.096676	0.093184	0.142063	0.131753	0.087130	
700	0.120257	0.071496	0.126581	0.090763	0.153994	0.096864	0.094148	0.141839	0.132012	0.089058	
710	0.122514	0.080442	0.126464	0.090081	0.157086	0.091891	0.099144	0.142345	0.133105	0.089434	
720	0.121303	0.074423	0.126064	0.091539	0.155229	0.092502	0.098462	0.141405	0.133199	0.087800	
730	0.120645	0.077432	0.125159	0.090528	0.153418	0.095676	0.100849	0.142216	0.131354	0.090704	
740	0.119598	0.071484	0.123007	0.091104	0.149422	0.093408	0.102142	0.144038	0.128627	0.092679	
750	0.120092	0.070238	0.124665	0.093443	0.149140	0.093149	0.104610	0.141475	0.128380	0.093419	
760	0.122079	0.061668	0.124606	0.090716	0.152302	0.092185	0.101119	0.141710	0.128674	0.092984	
770	0.120845	0.059776	0.125217	0.090598	0.151467	0.092021	0.106632	0.139018	0.129085	0.091174	
780	0.123125	0.057354	0.126722	0.090704	0.149363	0.093008	0.108478	0.142169	0.129179	0.092514	
790	0.124065	0.063937	0.126417	0.092220	0.150233	0.092573	0.109395	0.142533	0.129073	0.094230	
800	0.119140	0.064160	0.125864	0.096840	0.147858	0.095077	0.108572	0.138489	0.131248	0.095006	
810	0.118635	0.065724	0.126816	0.092855	0.149551	0.098286	0.107561	0.143603	0.130919	0.099309	
820	0.119069	0.061069	0.127157	0.090857	0.147553	0.095171	0.107573	0.138736	0.131894	0.093607	
830	0.122596	0.067146	0.126558	0.093372	0.149492	0.094019	0.101531	0.136926	0.128850	0.090986	
