T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.032474	0.065548	0.252598	0.244305	0.242106	0.006095	0.251399	0.010691	0.013689	0.009293	
20	0.252598	0.196843	0.259492	0.246803	0.251898	0.179856	0.254596	0.219424	0.267586	0.246603	
30	0.265288	0.260791	0.263289	0.251299	0.251599	0.231615	0.295663	0.240308	0.285072	0.294964	
40	0.268385	0.333933	0.279676	0.276579	0.244305	0.281375	0.358014	0.306255	0.305256	0.362910	
50	0.320144	0.355516	0.335532	0.350320	0.252098	0.331235	0.397982	0.344924	0.341527	0.401379	
60	0.383593	0.353317	0.391387	0.381595	0.257594	0.377498	0.414069	0.348221	0.386890	0.410971	
70	0.412270	0.352718	0.411371	0.392786	0.319045	0.407374	0.421763	0.336031	0.418066	0.406875	
80	0.420064	0.349620	0.425959	0.395084	0.375100	0.423062	0.423062	0.353517	0.429357	0.408173	
90	0.417066	0.355815	0.420763	0.386391	0.397282	0.427658	0.425959	0.359712	0.425659	0.412670	
100	0.419764	0.358613	0.420863	0.397882	0.403777	0.431755	0.426759	0.359313	0.430755	0.415867	
110	0.424760	0.364708	0.420564	0.393985	0.404976	0.428058	0.421962	0.358813	0.425460	0.417266	
120	0.421063	0.374001	0.417266	0.400979	0.400080	0.425460	0.429057	0.365308	0.423561	0.409772	
130	0.422162	0.381495	0.420464	0.393485	0.403177	0.421263	0.433054	0.383293	0.430556	0.417666	
140	0.422662	0.376499	0.424460	0.394684	0.400580	0.420963	0.420663	0.378098	0.428757	0.421363	
150	0.421363	0.381894	0.419165	0.396383	0.405775	0.418165	0.419964	0.378597	0.428857	0.419564	
160	0.421163	0.391187	0.418765	0.395084	0.400580	0.424261	0.429556	0.388090	0.426459	0.410971	
170	0.427258	0.391986	0.422362	0.399480	0.407874	0.428457	0.421463	0.400080	0.424960	0.420164	
180	0.422862	0.396583	0.418165	0.398381	0.403277	0.428157	0.419365	0.398681	0.424960	0.421163	
190	0.426459	0.398781	0.416467	0.400679	0.407874	0.422862	0.426859	0.415867	0.431655	0.423161	
200	0.423561	0.391487	0.417066	0.404476	0.408373	0.427458	0.409472	0.412070	0.431355	0.424361	
210	0.420364	0.394085	0.422862	0.412670	0.408173	0.421063	0.418365	0.415168	0.427558	0.416667	
220	0.422762	0.398881	0.418365	0.406575	0.404976	0.421863	0.421263	0.416267	0.428357	0.426059	
230	0.424061	0.408673	0.420364	0.409273	0.409972	0.420763	0.423961	0.412270	0.427558	0.425759	
240	0.422962	0.414369	0.419265	0.405076	0.409073	0.424161	0.422462	0.416767	0.429656	0.423161	
250	0.424860	0.405476	0.420064	0.410871	0.414369	0.420464	0.421663	0.410572	0.429456	0.424960	
260	0.418865	0.412570	0.420464	0.405476	0.406974	0.427058	0.419065	0.415268	0.427458	0.423261	
270	0.426559	0.420763	0.423761	0.403377	0.414968	0.424860	0.424261	0.415268	0.425560	0.426059	
280	0.424161	0.413569	0.414069	0.412370	0.415867	0.426958	0.424560	0.419065	0.431455	0.419464	
290	0.422562	0.417466	0.418865	0.416966	0.412270	0.423561	0.423361	0.413070	0.431055	0.419964	
300	0.416767	0.416567	0.417666	0.408973	0.421663	0.420963	0.415867	0.422362	0.426759	0.415767	
310	0.425759	0.419764	0.423461	0.415068	0.413169	0.430755	0.425060	0.426159	0.423761	0.432354	
320	0.422562	0.420763	0.414468	0.416467	0.421463	0.428157	0.428857	0.422662	0.433953	0.426359	
330	0.421763	0.409872	0.418465	0.415767	0.423861	0.425759	0.424860	0.418565	0.426659	0.426859	
340	0.422662	0.408973	0.421363	0.414269	0.421863	0.421463	0.426059	0.412970	0.427458	0.424860	
350	0.423361	0.412570	0.418865	0.420963	0.420364	0.425759	0.420464	0.421163	0.427058	0.423661	
360	0.424061	0.407874	0.416167	0.413369	0.419764	0.433553	0.421962	0.422862	0.429556	0.424460	
370	0.418665	0.417066	0.418765	0.419065	0.420064	0.428257	0.424560	0.424860	0.426859	0.419065	
380	0.424261	0.417266	0.423261	0.419464	0.425859	0.426159	0.427458	0.422862	0.429257	0.422462	
390	0.416367	0.417466	0.418665	0.424660	0.420663	0.418665	0.429656	0.424760	0.428157	0.417466	
400	0.424760	0.424161	0.419764	0.421063	0.421962	0.421663	0.431455	0.425959	0.428657	0.426259	
410	0.419764	0.428757	0.419365	0.426958	0.420264	0.418165	0.438849	0.423861	0.430456	0.418765	
420	0.425060	0.437250	0.423161	0.425759	0.421463	0.418965	0.436851	0.418465	0.424061	0.421962	
430	0.423961	0.436251	0.419764	0.434452	0.420963	0.426359	0.436351	0.424560	0.429157	0.419564	
440	0.420663	0.440947	0.417166	0.433153	0.417066	0.422962	0.430755	0.420963	0.433853	0.427758	
450	0.420464	0.445344	0.413669	0.431655	0.426459	0.413169	0.429856	0.427458	0.423761	0.423761	
460	0.429257	0.454536	0.417266	0.432954	0.420763	0.421063	0.430556	0.431355	0.421163	0.430855	
470	0.421363	0.447542	0.425460	0.437350	0.417766	0.422362	0.431455	0.434053	0.429057	0.428357	
480	0.422162	0.443845	0.421863	0.427158	0.418665	0.421563	0.431954	0.438749	0.425160	0.430356	
490	0.420064	0.450839	0.421163	0.438749	0.424560	0.423761	0.432054	0.441247	0.427458	0.434652	
500	0.421962	0.468725	0.418465	0.429057	0.418165	0.425959	0.427258	0.445144	0.422762	0.435751	
510	0.417766	0.457034	0.424061	0.434253	0.422762	0.425859	0.430755	0.439349	0.417366	0.434652	
520	0.428058	0.461131	0.421063	0.433953	0.415068	0.430056	0.424061	0.439249	0.423861	0.433353	
530	0.422762	0.460432	0.414568	0.435552	0.420564	0.427658	0.431954	0.443745	0.421863	0.427958	
540	0.423062	0.461231	0.416367	0.428157	0.420863	0.430755	0.432954	0.448042	0.427258	0.426659	
550	0.416267	0.448841	0.428757	0.431855	0.418365	0.424660	0.436751	0.449041	0.422162	0.434652	
560	0.423561	0.451039	0.418865	0.432354	0.421663	0.432754	0.433753	0.447142	0.427058	0.430356	
570	0.418765	0.452138	0.416367	0.433153	0.423261	0.427158	0.429756	0.453137	0.421063	0.444245	
580	0.423861	0.465627	0.423561	0.433253	0.422362	0.429456	0.439948	0.449840	0.421763	0.440248	
590	0.423161	0.477718	0.420464	0.443245	0.420264	0.425060	0.438449	0.451039	0.427358	0.432354	
600	0.421463	0.482414	0.419464	0.440747	0.419365	0.425859	0.441347	0.449540	0.423761	0.435751	
610	0.420464	0.474620	0.417366	0.438050	0.419664	0.425260	0.442446	0.453937	0.431655	0.428157	
620	0.422962	0.483713	0.427958	0.430356	0.421763	0.429556	0.435252	0.450040	0.426359	0.429556	
630	0.424261	0.478617	0.419864	0.434952	0.416267	0.425060	0.447342	0.453637	0.424860	0.431455	
640	0.416167	0.474121	0.421063	0.435452	0.419265	0.429057	0.439848	0.455735	0.424261	0.434452	
650	0.417666	0.475719	0.416667	0.428557	0.420663	0.426659	0.441447	0.463030	0.428757	0.441347	
660	0.424660	0.485711	0.418066	0.428657	0.416167	0.424760	0.441047	0.465228	0.422562	0.441647	
670	0.420564	0.482914	0.416467	0.429756	0.415468	0.431855	0.446643	0.464428	0.427058	0.442446	
680	0.421363	0.476819	0.423161	0.432754	0.422362	0.428157	0.443945	0.464628	0.422562	0.440248	
690	0.422362	0.476619	0.420464	0.427258	0.426259	0.430556	0.451339	0.454936	0.425260	0.438449	
700	0.425959	0.478317	0.421962	0.435352	0.422162	0.427058	0.444644	0.463429	0.424860	0.436551	
710	0.426359	0.477118	0.417466	0.431255	0.423561	0.422662	0.450839	0.459532	0.418865	0.436950	
720	0.418365	0.486011	0.423661	0.429956	0.419464	0.431155	0.446343	0.456135	0.425659	0.434752	
730	0.420564	0.476319	0.416966	0.434552	0.423861	0.424760	0.450040	0.459632	0.425360	0.434852	
