T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
10	0.007442	0.007643	0.125835	0.089778	0.190954	0.000383	0.000253	0.011319	0.006731	0.012805
20	0.114804	0.054213	0.126002	0.090768	0.18888	0.018152	0.001857	0.095886	0.044089	0.088046
30	0.114908	0.057437	0.126155	0.090938	0.188009	0.040981	0.015817	0.10154	0.04174	0.087616
40	0.104866	0.057169	0.126104	0.096121	0.185457	0.036822	0.042538	0.083427	0.05011	0.087694
50	0.094615	0.05713	0.126095	0.104234	0.18407	0.041199	0.058119	0.079671	0.080961	0.088469
60	0.106468	0.057436	0.126504	0.104762	0.185124	0.055991	0.06392	0.080841	0.109844	0.087539
70	0.109566	0.05793	0.127096	0.110097	0.189547	0.078442	0.064763	0.08193	0.125962	0.087514
80	0.116777	0.057461	0.126882	0.104585	0.188998	0.089662	0.066684	0.101293	0.12991	0.087107
90	0.119865	0.058907	0.125115	0.095885	0.19036	0.092025	0.070362	0.120686	0.130293	0.087326
100	0.121249	0.05853	0.127078	0.095192	0.187037	0.092765	0.071361	0.115472	0.13037	0.087326
110	0.123219	0.058904	0.126037	0.093751	0.184327	0.092605	0.071097	0.120409	0.131026	0.088308
120	0.121376	0.061808	0.126004	0.090165	0.184862	0.092095	0.070483	0.132569	0.131462	0.093159
130	0.121715	0.059083	0.125668	0.091201	0.178801	0.092452	0.070961	0.135582	0.131549	0.094566
140	0.121727	0.059789	0.12691	0.090885	0.180416	0.091492	0.070791	0.148042	0.130879	0.09182
150	0.122355	0.058223	0.126576	0.091682	0.182555	0.091646	0.070045	0.140348	0.130992	0.092176
160	0.120852	0.059116	0.125399	0.092046	0.185418	0.092392	0.072002	0.140953	0.130913	0.092314
170	0.121631	0.058976	0.127612	0.090755	0.181448	0.091589	0.070424	0.135289	0.130939	0.091686
180	0.120779	0.061321	0.125109	0.08997	0.1822	0.092397	0.070903	0.13869	0.131169	0.091356
190	0.12201	0.060182	0.126279	0.091042	0.179615	0.091578	0.071008	0.129985	0.134142	0.090629
200	0.121461	0.059702	0.12543	0.091052	0.18208	0.092018	0.068763	0.128963	0.131922	0.090319
210	0.121555	0.05799	0.12582	0.091139	0.183557	0.096787	0.068957	0.124117	0.130989	0.088672
220	0.121118	0.059071	0.126915	0.089942	0.180425	0.097184	0.07282	0.120271	0.131026	0.0885
230	0.125138	0.059965	0.126293	0.090495	0.177867	0.095044	0.078658	0.119848	0.130769	0.089462
240	0.122782	0.060756	0.126258	0.092099	0.176214	0.097197	0.075247	0.123513	0.132715	0.092018
250	0.122376	0.060625	0.126372	0.091391	0.170927	0.100348	0.073228	0.122167	0.132545	0.09141
260	0.122036	0.06217	0.126047	0.093081	0.172914	0.095228	0.070395	0.120819	0.132004	0.090229
270	0.122879	0.06444	0.12707	0.096864	0.172654	0.093671	0.070502	0.121961	0.130353	0.095565
280	0.124523	0.068182	0.12759	0.096324	0.166653	0.096003	0.070685	0.130001	0.130737	0.097106
290	0.125292	0.066426	0.127915	0.103151	0.16612	0.096914	0.070428	0.131928	0.130539	0.101431
300	0.123424	0.065566	0.128173	0.108624	0.161243	0.097832	0.070335	0.134895	0.130061	0.094123
