T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.002333	0.111933	0.008400	0.146800	0.006333	0.099200	0.101200	0.001600	0.063333	0.059067	
20	0.099333	0.107667	0.035400	0.175200	0.158600	0.214200	0.253800	0.104067	0.109600	0.059933	
30	0.172000	0.126533	0.052333	0.175333	0.204400	0.217867	0.253667	0.151400	0.110400	0.066600	
40	0.231400	0.197933	0.155800	0.170333	0.245333	0.227467	0.248467	0.156933	0.170533	0.070800	
50	0.269467	0.257933	0.248267	0.169600	0.279733	0.240067	0.249333	0.179333	0.331733	0.077333	
60	0.314867	0.270200	0.266800	0.167400	0.294067	0.239800	0.255067	0.191600	0.411933	0.126800	
70	0.337867	0.284400	0.265333	0.173267	0.307200	0.249933	0.267333	0.219333	0.428133	0.192000	
80	0.363533	0.297533	0.273800	0.175267	0.326800	0.250133	0.275200	0.221733	0.445267	0.247800	
90	0.369133	0.304800	0.302733	0.191867	0.366800	0.253800	0.309800	0.227000	0.444067	0.288333	
100	0.377067	0.315267	0.335933	0.199333	0.412933	0.253467	0.352133	0.223267	0.450000	0.331267	
110	0.388467	0.336933	0.353733	0.214267	0.453000	0.265733	0.383533	0.227400	0.442933	0.352000	
120	0.408733	0.347000	0.379933	0.243067	0.455067	0.288267	0.395933	0.233800	0.458667	0.363867	
130	0.417067	0.375000	0.380067	0.266733	0.480067	0.310467	0.410200	0.253333	0.464533	0.371333	
140	0.438800	0.406000	0.389133	0.294333	0.475600	0.336067	0.410467	0.262400	0.464800	0.401533	
150	0.470733	0.419400	0.380733	0.341000	0.484800	0.356867	0.419333	0.274200	0.465600	0.402267	
160	0.490933	0.442933	0.402000	0.364800	0.486400	0.382733	0.441533	0.296533	0.468933	0.409267	
170	0.516267	0.458667	0.409467	0.372600	0.492200	0.401000	0.441200	0.320000	0.478000	0.427333	
180	0.528200	0.458067	0.421333	0.412000	0.492600	0.402333	0.455533	0.347333	0.500000	0.443200	
190	0.546267	0.467267	0.429200	0.419000	0.492867	0.420267	0.461200	0.360733	0.496400	0.450467	
200	0.548067	0.472133	0.448267	0.429533	0.501067	0.436800	0.460400	0.372200	0.500867	0.452067	
210	0.570733	0.471133	0.458733	0.453133	0.497400	0.440600	0.474133	0.373800	0.501600	0.451867	
220	0.564600	0.478533	0.471000	0.451933	0.498333	0.449000	0.464867	0.381400	0.513133	0.458133	
230	0.567000	0.482000	0.478800	0.467533	0.512200	0.461067	0.477667	0.378867	0.504667	0.447400	
240	0.563533	0.484267	0.478333	0.480600	0.503800	0.467000	0.469933	0.389400	0.526000	0.450933	
250	0.565400	0.483333	0.499267	0.492133	0.497667	0.470600	0.474533	0.389800	0.524933	0.451200	
260	0.567600	0.484400	0.499400	0.497267	0.501733	0.484667	0.484667	0.404667	0.520400	0.454400	
270	0.572733	0.489133	0.508067	0.501200	0.506600	0.485600	0.488000	0.403533	0.536600	0.451933	
