essentiality	group_size	avg_s	asd_s	avg_p	asd_p	avg_porp	asd_porp	avg_cord	asd_cord	sd_avg_s	sd_asd_s	sd_avg_p	sd_asd_p	sd_avg_porp	sd_asd_porp	sd_avg_cord	sd_asd_cord
0.500000	36	0.000415	0.003379	0.005046	0.009601	0.006570	0.020752	0.000415	0.003410	0.000729	0.005237	0.006945	0.010007	0.007483	0.014936	0.000730	0.005272
0.526316	36	0.000455	0.003271	0.023806	0.014224	0.026058	0.031248	0.000455	0.003336	0.000772	0.005000	0.031753	0.013747	0.031708	0.019470	0.000773	0.005029
0.552632	36	0.000365	0.003189	0.087731	0.018617	0.088596	0.053699	0.000365	0.003214	0.000660	0.005081	0.033295	0.013641	0.032964	0.011723	0.000661	0.005112
0.578947	36	0.001148	0.003764	0.114351	0.020397	0.125075	0.061692	0.001148	0.003995	0.002191	0.005836	0.040223	0.013912	0.026917	0.008461	0.002191	0.005856
0.605263	36	0.000501	0.003514	0.158377	0.018695	0.159654	0.066299	0.000501	0.003545	0.000887	0.005258	0.022584	0.013983	0.021808	0.006863	0.000888	0.005292
0.631579	36	0.002925	0.004233	0.175282	0.015950	0.193908	0.069393	0.002924	0.004574	0.007638	0.006183	0.066180	0.012728	0.026455	0.007050	0.007637	0.006384
0.657895	36	0.006646	0.004724	0.176427	0.017543	0.237231	0.072439	0.006647	0.005747	0.009778	0.006264	0.103814	0.014233	0.028926	0.007574	0.009781	0.006341
0.684211	36	0.005929	0.004764	0.218893	0.017258	0.262303	0.074577	0.005930	0.005519	0.011933	0.006486	0.103451	0.013295	0.027413	0.007693	0.011937	0.006720
0.710526	36	0.010881	0.005126	0.207892	0.015361	0.296628	0.073910	0.010883	0.006637	0.014659	0.006806	0.128905	0.012431	0.031275	0.008854	0.014662	0.006878
0.736842	36	0.003781	0.005719	0.294022	0.016916	0.318842	0.078071	0.003781	0.006251	0.006681	0.007704	0.059131	0.013691	0.021488	0.006548	0.006681	0.007704
0.763158	36	0.009848	0.005928	0.263257	0.019958	0.342256	0.074911	0.009847	0.007298	0.012050	0.007245	0.104561	0.015733	0.023259	0.009565	0.012049	0.007171
0.789474	36	0.006885	0.006164	0.312149	0.019021	0.356587	0.077330	0.006886	0.007241	0.007865	0.007477	0.071727	0.012790	0.017720	0.007994	0.007868	0.007287
0.815789	36	0.019945	0.006639	0.264939	0.023608	0.394151	0.069810	0.019945	0.008917	0.018133	0.007379	0.130386	0.023475	0.018332	0.012412	0.018134	0.007161
0.842105	36	0.002760	0.005706	0.403467	0.014248	0.409662	0.081487	0.002761	0.006131	0.003936	0.007120	0.032701	0.011051	0.023236	0.005510	0.003939	0.007085
0.868421	36	0.008163	0.007323	0.388853	0.013413	0.426211	0.078309	0.008166	0.008197	0.014292	0.008678	0.102100	0.010573	0.018043	0.010978	0.014296	0.008673
0.894737	36	0.007529	0.006984	0.414373	0.014907	0.437178	0.078671	0.007529	0.007816	0.013274	0.007964	0.063637	0.012096	0.019457	0.010524	0.013273	0.007980
0.921053	36	0.004316	0.007093	0.449768	0.014519	0.455191	0.080715	0.004316	0.007572	0.006139	0.007951	0.028682	0.012623	0.018799	0.006567	0.006141	0.007945
0.947368	36	0.008306	0.008318	0.467931	0.017869	0.472775	0.077332	0.008304	0.009326	0.007794	0.008444	0.024195	0.014087	0.018267	0.008140	0.007796	0.008180
0.973684	36	0.004699	0.008948	0.485502	0.013483	0.485406	0.081342	0.004701	0.009318	0.007129	0.009914	0.022606	0.010312	0.017670	0.006652	0.007131	0.009938
1.000000	36	0.007579	0.007349	0.504026	0.015019	0.500902	0.077932	0.007582	0.008228	0.009103	0.008251	0.021326	0.012034	0.014097	0.009075	0.009109	0.008171
