T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.046902	0.063279	0	0.000296	0	0.018048	0.251079	0	0.009476	0
20	0.011511	0.012166	0.000177	0.000305	0.000317	0.115739	0.253182	0.000845	0.078358	0.003829
30	0.018282	0.037667	0.000868	0.001546	0	0.101226	0.255034	0.004655	0.096487	0.035048
40	0.047352	0.070217	0.003471	0.007914	0	0.163932	0.257718	0.021619	0.1047	0.072362
50	0.08737	0.076925	0.013853	0.021079	0.002115	0.207918	0.257829	0.033403	0.106575	0.090665
60	0.080766	0.080186	0.02248	0.025685	0.018316	0.207902	0.255505	0.037264	0.106819	0.095604
70	0.080995	0.083546	0.02459	0.030407	0.071387	0.176639	0.256848	0.03855	0.104771	0.102121
80	0.063022	0.084162	0.027011	0.026842	0.125337	0.159271	0.264669	0.049041	0.105992	0.103797
90	0.058062	0.092678	0.025052	0.018509	0.137779	0.151382	0.255009	0.053797	0.10624	0.103761
100	0.055504	0.091697	0.027758	0.021313	0.140493	0.151091	0.256181	0.054835	0.106998	0.105632
110	0.054831	0.099519	0.029871	0.023155	0.141172	0.150529	0.255634	0.057876	0.104873	0.105171
120	0.054029	0.113984	0.02684	0.016227	0.139778	0.148935	0.252368	0.061954	0.104147	0.109315
130	0.055	0.138044	0.029303	0.015352	0.141967	0.148281	0.25292	0.061582	0.108554	0.120362
140	0.054309	0.142369	0.029619	0.012389	0.154136	0.14852	0.251741	0.065737	0.108316	0.132597
150	0.055072	0.158116	0.022814	0.011149	0.163422	0.150914	0.247619	0.057911	0.109091	0.158026
160	0.055109	0.175402	0.025461	0.017341	0.160828	0.15273	0.250223	0.05529	0.10954	0.133151
170	0.055469	0.185286	0.0246	0.018863	0.171785	0.153023	0.244175	0.050795	0.109152	0.134795
180	0.056035	0.188161	0.026836	0.022953	0.17967	0.151991	0.246822	0.053533	0.108576	0.146727
190	0.056257	0.197474	0.023808	0.037883	0.173607	0.153343	0.23913	0.055149	0.109187	0.139736
200	0.056799	0.202101	0.025434	0.05799	0.17705	0.153405	0.239227	0.05813	0.110362	0.147044
210	0.056995	0.200407	0.021729	0.080101	0.163344	0.153432	0.242482	0.053336	0.113142	0.15336
220	0.057523	0.205038	0.021889	0.08005	0.160735	0.153485	0.246171	0.05106	0.111523	0.166911
230	0.057978	0.218112	0.023399	0.07143	0.150358	0.155214	0.244077	0.055441	0.109855	0.161365
240	0.058112	0.224551	0.021553	0.055245	0.151653	0.157291	0.238629	0.066593	0.107294	0.16331
250	0.057582	0.231774	0.023623	0.079674	0.150387	0.159405	0.242139	0.065539	0.104532	0.175366
260	0.056656	0.22765	0.02378	0.065651	0.145304	0.158266	0.240262	0.067762	0.107725	0.182829
270	0.056849	0.236424	0.021717	0.070483	0.142421	0.156448	0.242419	0.069855	0.108421	0.179278
280	0.057166	0.228244	0.021429	0.100983	0.140615	0.158855	0.242036	0.088205	0.108843	0.163564
290	0.057324	0.236319	0.02166	0.084879	0.140556	0.157197	0.242956	0.103359	0.108845	0.156615
300	0.057775	0.246416	0.022115	0.083078	0.143974	0.16005	0.245516	0.114258	0.109688	0.158812
310	0.056844	0.245284	0.0228	0.095871	0.141141	0.164626	0.251996	0.112694	0.111521	0.185759
320	0.057271	0.243916	0.022984	0.09356	0.142448	0.160705	0.252869	0.10822	0.113184	0.16547
330	0.056826	0.235659	0.024487	0.097006	0.144367	0.158787	0.253249	0.083135	0.113906	0.173223
340	0.056389	0.244805	0.024096	0.11837	0.143249	0.157879	0.253605	0.08424	0.112294	0.147613
350	0.056967	0.24779	0.025609	0.12452	0.14302	0.149905	0.253406	0.099995	0.11399	0.144667
360	0.056748	0.245021	0.025818	0.097161	0.142882	0.149926	0.255111	0.116824	0.115037	0.145716
370	0.056963	0.256249	0.03034	0.118272	0.142675	0.144882	0.254384	0.110376	0.114677	0.148563
380	0.057843	0.258434	0.029352	0.129466	0.143193	0.144541	0.256996	0.121983	0.114016	0.150836
390	0.059594	0.264269	0.029788	0.150243	0.142525	0.142734	0.26235	0.137065	0.112699	0.143427
400	0.060172	0.279033	0.027999	0.15796	0.143531	0.139063	0.264132	0.140303	0.115208	0.147546
410	0.067672	0.281217	0.025913	0.170762	0.14362	0.134109	0.272259	0.157774	0.11512	0.151148
420	0.064576	0.297059	0.024588	0.184734	0.140977	0.142778	0.276795	0.169228	0.115736	0.143372
430	0.059686	0.319639	0.024756	0.201552	0.140963	0.13635	0.279747	0.175294	0.116918	0.160498
440	0.061797	0.326871	0.026094	0.217914	0.142275	0.116778	0.266244	0.175782	0.109729	0.168773
450	0.061213	0.321082	0.028461	0.227882	0.141233	0.109581	0.269882	0.201761	0.102661	0.178464
460	0.060376	0.353752	0.030068	0.230264	0.142147	0.12228	0.272773	0.208625	0.101374	0.179219
470	0.067119	0.33713	0.031004	0.23685	0.142089	0.128746	0.274427	0.218834	0.098526	0.200953
480	0.061268	0.350821	0.030375	0.239933	0.142453	0.141954	0.271316	0.248557	0.092324	0.20755
490	0.067186	0.374255	0.025743	0.24199	0.142172	0.144687	0.276165	0.270682	0.090977	0.215054
500	0.0628	0.392823	0.03295	0.2449	0.141611	0.147149	0.2669	0.274613	0.091391	0.223403
510	0.066201	0.37729	0.032843	0.250435	0.142159	0.155826	0.269979	0.285724	0.090521	0.204709
520	0.065359	0.381822	0.028679	0.25781	0.142639	0.1597	0.268099	0.308885	0.089037	0.192851
530	0.062161	0.379245	0.025398	0.248597	0.14327	0.15486	0.271412	0.343023	0.086127	0.200262
540	0.056651	0.385458	0.026884	0.241939	0.145271	0.158778	0.279902	0.368451	0.083031	0.201863
550	0.057848	0.375585	0.028449	0.238941	0.14314	0.159235	0.278915	0.365775	0.081483	0.237595
560	0.05667	0.377486	0.03296	0.242374	0.14318	0.161247	0.286455	0.369693	0.080198	0.236967
570	0.059909	0.377183	0.037442	0.232606	0.14272	0.158759	0.2848	0.397189	0.081108	0.244796
580	0.056597	0.417851	0.042414	0.228971	0.142393	0.157003	0.286464	0.385546	0.083175	0.251268
590	0.057625	0.433837	0.036883	0.228042	0.142002	0.154519	0.289768	0.395318	0.08583	0.247765
600	0.054546	0.462768	0.03481	0.230536	0.144078	0.152796	0.290976	0.408112	0.089198	0.237661
610	0.056777	0.454193	0.031377	0.228824	0.143634	0.153926	0.290021	0.398092	0.091844	0.223931
620	0.049516	0.46531	0.031538	0.227207	0.143114	0.159491	0.300054	0.391449	0.091219	0.220532
630	0.050954	0.461469	0.031449	0.228421	0.142815	0.163058	0.306717	0.413884	0.094096	0.2322
640	0.045266	0.455481	0.026993	0.224316	0.140638	0.167622	0.308094	0.449408	0.095513	0.250119
650	0.045222	0.463465	0.023756	0.218742	0.142883	0.167586	0.317456	0.459078	0.10018	0.246198
660	0.048786	0.466219	0.024116	0.208868	0.14461	0.16759	0.328818	0.467296	0.094165	0.247678
670	0.045983	0.459551	0.02306	0.20454	0.14508	0.17144	0.336437	0.462418	0.090165	0.26465
680	0.048003	0.452113	0.022371	0.206266	0.139803	0.177395	0.339932	0.460649	0.087307	0.276421
690	0.050545	0.457227	0.023677	0.20034	0.140926	0.170655	0.343958	0.456674	0.083771	0.269694
700	0.049425	0.479298	0.023276	0.19829	0.139654	0.167711	0.34391	0.457255	0.082993	0.268852
710	0.049976	0.486965	0.021892	0.216244	0.142157	0.171146	0.346744	0.46236	0.08853	0.25581
720	0.046827	0.49077	0.02473	0.215121	0.140215	0.179052	0.348233	0.460385	0.087815	0.259509
730	0.044347	0.490482	0.028929	0.220061	0.132202	0.176216	0.350074	0.461961	0.086997	0.261217
740	0.042105	0.488198	0.027162	0.228855	0.136261	0.18152	0.346434	0.463409	0.085225	0.264643
750	0.04147	0.487548	0.026787	0.228597	0.137358	0.188417	0.353214	0.459142	0.08169	0.258455
760	0.043002	0.488416	0.021922	0.228759	0.13523	0.187697	0.35078	0.457185	0.084264	0.261658
770	0.045483	0.483846	0.022467	0.228745	0.14423	0.194192	0.352576	0.452228	0.083491	0.250587
780	0.043931	0.473378	0.02432	0.229759	0.142954	0.191367	0.35189	0.454081	0.08255	0.260714
790	0.044393	0.468736	0.025708	0.233241	0.142745	0.202961	0.351552	0.457333	0.076691	0.265683
800	0.048356	0.464129	0.028771	0.234035	0.143236	0.199901	0.366742	0.459716	0.079124	0.248886
810	0.045378	0.47281	0.034479	0.233698	0.149529	0.203138	0.37499	0.461662	0.080095	0.249874
820	0.046289	0.462503	0.03779	0.233445	0.145016	0.207222	0.37436	0.460688	0.081293	0.265684
830	0.046412	0.45868	0.049415	0.232835	0.149482	0.199189	0.37982	0.46403	0.081638	0.281046
840	0.046908	0.458714	0.050637	0.235381	0.150709	0.200856	0.374197	0.46316	0.079265	0.284848
850	0.048484	0.455578	0.059549	0.235844	0.156804	0.186579	0.370539	0.462106	0.075033	0.284812
860	0.051114	0.451825	0.064558	0.238498	0.164261	0.184443	0.368969	0.460175	0.07443	0.284039
870	0.05084	0.460628	0.060471	0.238193	0.177443	0.195233	0.369153	0.461377	0.073881	0.284822
880	0.050469	0.468552	0.063131	0.233871	0.182126	0.206059	0.366031	0.460101	0.074062	0.28396
890	0.052133	0.483868	0.054202	0.231936	0.18868	0.206256	0.367224	0.464721	0.077548	0.28474
900	0.053331	0.477672	0.044151	0.231025	0.203758	0.201421	0.372093	0.464166	0.073794	0.283537
910	0.053648	0.484907	0.037281	0.227741	0.205051	0.198788	0.376545	0.462783	0.075686	0.284564
920	0.056395	0.484952	0.041442	0.232548	0.208691	0.200391	0.377048	0.462163	0.074774	0.285417
930	0.053802	0.479052	0.039479	0.232534	0.214212	0.209929	0.374028	0.463575	0.073913	0.286838
940	0.059243	0.473439	0.033855	0.230201	0.219598	0.204608	0.370102	0.46407	0.074714	0.286975
950	0.059597	0.470677	0.031062	0.230311	0.244038	0.20108	0.362743	0.464189	0.075114	0.286487
960	0.066073	0.470024	0.033351	0.229971	0.261567	0.197585	0.364634	0.464684	0.075993	0.285265
970	0.064184	0.47924	0.039129	0.230861	0.294755	0.192338	0.361881	0.464387	0.07576	0.285473
980	0.068301	0.480213	0.027672	0.227144	0.307009	0.191469	0.362266	0.466176	0.07956	0.286505
990	0.067167	0.481932	0.030116	0.226891	0.298265	0.199007	0.364176	0.465161	0.083228	0.286752
1000	0.066261	0.484633	0.027475	0.226717	0.310281	0.201787	0.360111	0.465838	0.079216	0.28668
1010	0.066501	0.487261	0.027391	0.227797	0.306125	0.209748	0.353506	0.465085	0.078685	0.286284
1020	0.070792	0.491436	0.027388	0.227511	0.334023	0.214714	0.352964	0.465222	0.077708	0.285418
1030	0.06843	0.492088	0.020414	0.226645	0.367145	0.221736	0.351928	0.465452	0.078339	0.285458
1040	0.070248	0.492847	0.022229	0.227504	0.351462	0.217657	0.353897	0.46322	0.075646	0.284528
1050	0.082498	0.493419	0.020498	0.222653	0.360465	0.219267	0.35592	0.461347	0.075259	0.288306
1060	0.074737	0.49326	0.023299	0.223855	0.348969	0.220022	0.359129	0.463808	0.074797	0.28686
1070	0.080092	0.494285	0.022362	0.224062	0.354795	0.218064	0.356746	0.459358	0.075929	0.287171
1080	0.089734	0.493653	0.023774	0.223847	0.350344	0.220266	0.355175	0.4636	0.075651	0.288171
1090	0.098797	0.495511	0.024097	0.218269	0.372271	0.21969	0.36139	0.464843	0.075583	0.289193
1100	0.098486	0.496743	0.023268	0.21829	0.334412	0.21737	0.36147	0.464684	0.075583	0.288603
1110	0.109167	0.495692	0.023309	0.223183	0.317756	0.217689	0.362735	0.465059	0.07556	0.290645
1120	0.122497	0.494335	0.027765	0.226909	0.333609	0.220261	0.359883	0.466675	0.080687	0.288737
1130	0.144129	0.494415	0.036073	0.220289	0.326262	0.218412	0.35647	0.465827	0.08444	0.288956
1140	0.134789	0.49727	0.041787	0.221939	0.34801	0.216635	0.360873	0.468212	0.083395	0.287319
1150	0.145878	0.503445	0.037384	0.226603	0.357714	0.218239	0.360095	0.465279	0.080254	0.287919
1160	0.149874	0.511735	0.039842	0.227192	0.379694	0.210994	0.366101	0.465091	0.084596	0.286199
1170	0.159788	0.498759	0.03315	0.228395	0.397173	0.210563	0.366646	0.464719	0.083595	0.287013
1180	0.180853	0.499457	0.036402	0.227928	0.390576	0.212809	0.360299	0.459027	0.083903	0.285397
1190	0.188237	0.503718	0.038171	0.227109	0.383402	0.211797	0.363329	0.466729	0.084569	0.285116
1200	0.183433	0.498401	0.041751	0.225969	0.388073	0.211471	0.36372	0.477944	0.083281	0.285186
1210	0.17832	0.49313	0.035195	0.226669	0.400008	0.206246	0.369716	0.47225	0.085271	0.28338
1220	0.181771	0.490556	0.034892	0.227241	0.408225	0.204078	0.3693	0.471321	0.081295	0.285137
1230	0.177613	0.485842	0.035405	0.226642	0.403016	0.206809	0.36684	0.46685	0.076504	0.285856
1240	0.193129	0.488243	0.039753	0.22691	0.415725	0.208629	0.36768	0.469182	0.075731	0.287431
1250	0.196829	0.494022	0.044874	0.227274	0.420456	0.210627	0.369318	0.465213	0.078968	0.287015
1260	0.219883	0.497003	0.043981	0.221856	0.430239	0.20986	0.369105	0.471838	0.076141	0.285806
1270	0.212581	0.502486	0.045552	0.217188	0.426257	0.201765	0.364761	0.46799	0.076148	0.285878
1280	0.214531	0.501135	0.044813	0.221815	0.421142	0.200243	0.362825	0.473462	0.077591	0.285326
1290	0.22629	0.49973	0.041865	0.221158	0.406242	0.193247	0.360873	0.485267	0.079041	0.282422
1300	0.254845	0.494909	0.040779	0.225068	0.40682	0.198957	0.358942	0.486061	0.081231	0.284226
1310	0.263364	0.493456	0.033871	0.227252	0.410417	0.196693	0.358542	0.489426	0.083127	0.284906
1320	0.271021	0.494673	0.032383	0.227795	0.410806	0.195713	0.359807	0.495615	0.086141	0.284848
1330	0.280139	0.501643	0.029563	0.2248	0.412397	0.206649	0.362768	0.51779	0.087931	0.280306
1340	0.274139	0.497933	0.027941	0.224996	0.414127	0.207639	0.360604	0.494656	0.085586	0.283963
1350	0.277854	0.495895	0.02462	0.226928	0.405951	0.207678	0.35666	0.485058	0.083214	0.283235
1360	0.281733	0.494696	0.026079	0.222044	0.403014	0.208861	0.358319	0.482769	0.082474	0.284137
1370	0.271022	0.495341	0.02673	0.226368	0.405111	0.211175	0.359664	0.476656	0.081325	0.284373
1380	0.257122	0.492914	0.025394	0.225976	0.405563	0.210665	0.359758	0.46974	0.079905	0.284683
1390	0.264206	0.496032	0.025917	0.228429	0.411107	0.206247	0.359609	0.480764	0.080209	0.284922
1400	0.261581	0.497602	0.02576	0.230915	0.413901	0.205948	0.356506	0.476525	0.081639	0.284411
1410	0.271424	0.495832	0.025331	0.228777	0.412233	0.206314	0.355756	0.466212	0.082061	0.282752
1420	0.27121	0.504136	0.027131	0.228595	0.414722	0.205111	0.354893	0.463221	0.083706	0.279824
1430	0.267631	0.506966	0.027145	0.233286	0.414385	0.204098	0.355532	0.46329	0.084448	0.278793
1440	0.274956	0.505584	0.024554	0.232778	0.414361	0.205926	0.352301	0.463853	0.084286	0.276689
1450	0.271799	0.506238	0.020705	0.230001	0.414911	0.206403	0.347454	0.464614	0.084501	0.274864
1460	0.255512	0.501813	0.021476	0.230308	0.418579	0.206424	0.343789	0.464471	0.079492	0.277651
1470	0.255473	0.503613	0.019396	0.231387	0.416091	0.205462	0.344007	0.464289	0.080162	0.27643
1480	0.251258	0.504897	0.021984	0.222528	0.418647	0.204326	0.345848	0.46447	0.086676	0.278591
1490	0.266996	0.500675	0.022664	0.227572	0.420481	0.204332	0.343711	0.465227	0.079769	0.280755
1500	0.280222	0.501908	0.021425	0.240161	0.418705	0.203968	0.349309	0.463679	0.081529	0.279302
1510	0.273744	0.488787	0.021512	0.246792	0.419582	0.204247	0.353653	0.464641	0.081821	0.280916
1520	0.277579	0.488424	0.020431	0.241756	0.422502	0.205264	0.354377	0.462479	0.084661	0.276837
