T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.126505	0.012646	0.101371	0.000628	0.137395	0.000059	0.002207	0.14691	0.04432	0.025681
20	0.136359	0.146421	0.218016	0.004188	0.115523	0.012381	0.001915	0.152511	0.166979	0.156129
30	0.129008	0.153907	0.217721	0.084515	0.112198	0.062467	0.053094	0.147138	0.172995	0.261203
40	0.12912	0.164618	0.142527	0.267813	0.111388	0.142943	0.089455	0.151857	0.145873	0.296734
50	0.135251	0.166646	0.10064	0.417824	0.111757	0.191846	0.112812	0.175911	0.101858	0.305635
60	0.138462	0.165993	0.096298	0.439934	0.111902	0.207169	0.13211	0.219848	0.092599	0.305493
70	0.137331	0.161168	0.106912	0.444279	0.112628	0.214534	0.154032	0.268859	0.084104	0.263513
80	0.133504	0.159686	0.126938	0.446541	0.112086	0.217609	0.190289	0.29055	0.075192	0.228235
90	0.131571	0.16259	0.143032	0.444773	0.11455	0.222784	0.223625	0.29724	0.073651	0.187279
100	0.127087	0.167049	0.150024	0.443529	0.114331	0.235611	0.239373	0.304436	0.072297	0.167567
110	0.12498	0.171018	0.142575	0.443807	0.113411	0.252201	0.221316	0.311116	0.073056	0.155637
120	0.124868	0.180147	0.127836	0.440753	0.113742	0.269071	0.220336	0.309014	0.070304	0.155425
130	0.125032	0.178014	0.122343	0.436989	0.113635	0.27873	0.22248	0.308422	0.074317	0.154918
140	0.125442	0.179001	0.126102	0.434072	0.112399	0.282913	0.219066	0.307632	0.07945	0.1551
150	0.126199	0.175418	0.140246	0.431373	0.115722	0.280166	0.20736	0.312529	0.076571	0.15429
160	0.12869	0.165496	0.132692	0.434895	0.1168	0.260978	0.20467	0.314048	0.075547	0.153724
170	0.128315	0.163846	0.1332	0.434398	0.123587	0.254738	0.185072	0.315315	0.075114	0.148496
180	0.13053	0.157894	0.1321	0.436659	0.130481	0.252481	0.181819	0.318939	0.077621	0.152082
190	0.132198	0.15524	0.130654	0.436056	0.134149	0.248444	0.184831	0.320699	0.074829	0.147645
200	0.132913	0.15319	0.124307	0.436934	0.142061	0.240444	0.18661	0.323842	0.073472	0.154757
210	0.132658	0.156052	0.119691	0.438733	0.151027	0.234253	0.183237	0.322769	0.074358	0.153258
220	0.132614	0.157385	0.118745	0.440874	0.156344	0.225057	0.182419	0.327837	0.073363	0.150586
230	0.129433	0.158826	0.128623	0.440767	0.155538	0.225827	0.182032	0.329791	0.071764	0.158552
240	0.127132	0.163709	0.121947	0.44027	0.158174	0.226539	0.185567	0.33152	0.072564	0.165489
250	0.126192	0.167196	0.119149	0.440317	0.162892	0.223012	0.183064	0.332823	0.073153	0.167259
260	0.12986	0.165549	0.121113	0.442063	0.160423	0.225118	0.18735	0.339711	0.075942	0.170564
270	0.134153	0.167572	0.120705	0.443175	0.161026	0.2251	0.184401	0.345216	0.076142	0.179948
280	0.137106	0.172235	0.116717	0.443553	0.174103	0.227696	0.185671	0.347528	0.073254	0.179371
290	0.135649	0.174702	0.110174	0.441513	0.176387	0.231534	0.184563	0.343642	0.076185	0.19237
300	0.135288	0.175552	0.107282	0.444235	0.187772	0.235659	0.183526	0.349207	0.075757	0.200481
310	0.135483	0.172987	0.109161	0.443668	0.190977	0.235513	0.185655	0.346131	0.078597	0.209833
320	0.140383	0.173705	0.110197	0.444805	0.199481	0.241595	0.192366	0.351214	0.08063	0.212142
330	0.140178	0.179902	0.109896	0.444904	0.197633	0.24871	0.1886	0.353924	0.084383	0.222898
340	0.139581	0.190804	0.114212	0.444367	0.192696	0.247019	0.182743	0.359555	0.089264	0.2396
350	0.138688	0.19182	0.12021	0.44532	0.190176	0.248047	0.181612	0.370111	0.091722	0.246554
360	0.138925	0.193055	0.129337	0.441521	0.199166	0.250565	0.183834	0.370946	0.091052	0.261566
370	0.141807	0.196215	0.132432	0.44163	0.201874	0.250995	0.184788	0.373603	0.092154	0.257861
380	0.13889	0.196588	0.131538	0.439501	0.205384	0.249577	0.184753	0.372617	0.092617	0.256368
390	0.138507	0.203416	0.133354	0.439233	0.203086	0.247424	0.184892	0.375337	0.088988	0.264893
400	0.134785	0.214618	0.131759	0.435034	0.202263	0.247015	0.183263	0.379404	0.086014	0.26357
410	0.13679	0.21746	0.131132	0.432641	0.208547	0.246775	0.181696	0.397474	0.091042	0.271238
420	0.140494	0.220719	0.130913	0.429152	0.201573	0.245757	0.183798	0.39219	0.092259	0.267654
430	0.139385	0.228775	0.135175	0.428339	0.209	0.244941	0.179977	0.394006	0.089031	0.2565
440	0.139767	0.223342	0.134137	0.429667	0.206104	0.244301	0.177699	0.396151	0.085118	0.265008
450	0.135076	0.242715	0.136298	0.429242	0.21156	0.247177	0.176467	0.39758	0.092634	0.261151
