essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.5,2,0.002607,0.0143838,0.0009142,0.0081066,0.001794,0.029865,0.0026062,0.0492886,0.0008284,0.003034,0.000337,0.001824,0.0005468,0.004844,0.0009892,0.0099672
0.526316,2,0.0031378,0.0157528,0.0009652,0.0083732,0.002024,0.0317538,0.0031414,0.0542392,0.001109,0.0035106,0.0003516,0.0019226,0.0006004,0.0049818,0.001254,0.0114968
0.552632,2,0.003439,0.0166248,0.0010612,0.0089672,0.002215,0.033202,0.0034304,0.056455,0.001144,0.0038072,0.0003912,0.0020178,0.0006486,0.0051278,0.0012874,0.011185
0.578947,2,0.0039734,0.0178078,0.0012504,0.0095758,0.0025878,0.0358776,0.0039692,0.0607528,0.0015248,0.004291,0.000465,0.0021552,0.0007898,0.0057228,0.0016554,0.0134086
0.605263,2,0.005453,0.0203986,0.0016416,0.0106878,0.0034898,0.0416754,0.0054462,0.071561,0.0020262,0.0045354,0.0005834,0.0022492,0.001069,0.006571,0.0021676,0.0148104
0.631579,2,0.008058,0.025653,0.0023064,0.0124602,0.005091,0.0502198,0.0080644,0.0869588,0.0028536,0.0059436,0.0007848,0.0025722,0.0014146,0.0070756,0.0030218,0.0167876
0.657895,2,0.0249006,0.0476036,0.0041072,0.0156872,0.0127808,0.0778216,0.0249138,0.1491002,0.0089874,0.0135282,0.0016428,0.0033442,0.0038746,0.0118768,0.0091062,0.028254
0.684211,2,0.9967088,0.0148634,0.489091,0.1529986,0.4992024,0.022046,0.9967138,0.0523414,0.0023502,0.0061462,0.148057,0.0509578,0.001162,0.0114704,0.0024048,0.0212352
0.710526,2,0.9980896,0.0114574,0.5685252,0.1588258,0.499724,0.0169308,0.9980902,0.0402456,0.0010162,0.0037308,0.1827548,0.0321718,0.0005436,0.006294,0.0011056,0.0129448
0.736842,2,0.997997,0.0119158,0.461206,0.1398906,0.499606,0.017552,0.9979976,0.0416794,0.0009074,0.0031858,0.1399508,0.0356298,0.0004534,0.0056836,0.0010074,0.0118876
0.763158,2,0.9980534,0.0121126,0.3300942,0.1462472,0.4994978,0.018115,0.9980566,0.0423512,0.0006508,0.0028032,0.0670962,0.033342,0.0003406,0.0046098,0.0008082,0.0094604
0.789474,2,0.9984648,0.010536,0.4753748,0.1492382,0.49979,0.0148618,0.9984654,0.036867,0.0006444,0.002755,0.1411346,0.0417988,0.000332,0.0048196,0.0007558,0.0102656
0.815789,2,0.9987058,0.0098264,0.5196368,0.1549652,0.4999182,0.0133604,0.9987028,0.0337886,0.0005326,0.0025026,0.157659,0.0524732,0.0002706,0.004339,0.000654,0.0097332
0.842105,2,0.9986744,0.0098744,0.3607238,0.1393848,0.4997256,0.0146108,0.9986744,0.0344588,0.0004832,0.0024562,0.1811662,0.0423376,0.0003196,0.0044374,0.0006196,0.009012
0.868421,2,0.998827,0.0093776,0.4440626,0.1368826,0.4998768,0.0125642,0.9988258,0.0323614,0.0004222,0.0021646,0.1002146,0.031559,0.0002088,0.0040522,0.0005506,0.0085668
0.894737,2,0.9990192,0.0085264,0.568718,0.1527696,0.500031,0.0116832,0.9990218,0.029273,0.0003888,0.0021288,0.2244404,0.040327,0.0002528,0.0040554,0.0005084,0.008856
0.921053,2,0.9989748,0.0086808,0.3565748,0.1695318,0.4998258,0.0123106,0.9989754,0.029992,0.0004004,0.0021054,0.0986966,0.0417818,0.0001966,0.0040254,0.0005202,0.0088658
0.947368,2,0.9990576,0.0084366,0.4405186,0.1424416,0.4999396,0.01112,0.9990562,0.028822,0.0003504,0.0020196,0.1947392,0.051743,0.000221,0.0038598,0.0004732,0.0083978
0.973684,2,0.999137,0.0080566,0.4826226,0.1750632,0.4999804,0.0106584,0.9991412,0.0273252,0.0003184,0.0019852,0.123764,0.037995,0.0001746,0.0038842,0.0004394,0.008298
1,2,0.9991584,0.0078056,0.4145086,0.1561214,0.49993,0.0104856,0.9991556,0.0269838,0.0003296,0.0018174,0.1250304,0.0494918,0.000166,0.0039856,0.0004478,0.0085334
0.5,4,0.0017984,0.0111864,0.0014502,0.0098984,0.0031154,0.0292646,0.0017978,0.019149,0.0009002,0.0036148,0.0006388,0.0028614,0.0011318,0.005774,0.0009342,0.0058616
0.526316,4,0.0025256,0.0135882,0.002154,0.011521,0.0045084,0.0353054,0.0025264,0.023051,0.0011324,0.004258,0.0009666,0.003286,0.0014362,0.0060464,0.0011744,0.006335
0.552632,4,0.0050644,0.017053,0.002694,0.012765,0.0074796,0.0446682,0.0050608,0.0318606,0.002182,0.0048778,0.0013668,0.003704,0.0027564,0.008581,0.002219,0.0077384
0.578947,4,0.0193162,0.0293964,0.0069626,0.0184364,0.0253752,0.0795902,0.0193072,0.0595756,0.0118208,0.0082696,0.0039822,0.004941,0.0099002,0.0143894,0.0118424,0.0182072
0.605263,4,0.123939,0.0416816,0.0026458,0.0135378,0.1106482,0.1472094,0.1239054,0.139589,0.0164288,0.0078268,0.0015346,0.0042128,0.0111508,0.0050122,0.0165298,0.0083666
0.631579,4,0.6209302,0.0349542,0.0742466,0.0425452,0.2165448,0.094386,0.6209206,0.1003946,0.534012,0.035486,0.1032012,0.0457692,0.047907,0.1040216,0.5340252,0.1176396
0.657895,4,0.9983368,0.010671,0.1570996,0.0807994,0.2510384,0.0193116,0.9983352,0.0183708,0.0008438,0.0033848,0.0307928,0.0169764,0.0007474,0.0049088,0.0008768,0.0055734
0.684211,4,0.9982298,0.0112318,0.1760278,0.0735014,0.2513128,0.0197326,0.9982346,0.0190592,0.0008324,0.0034972,0.0380762,0.0128764,0.0007684,0.0045576,0.0008724,0.0056036
0.710526,4,0.997751,0.0129824,0.1609756,0.0718916,0.2517046,0.0217878,0.9977494,0.021804,0.0010844,0.004042,0.0403716,0.014728,0.0009282,0.0050896,0.0011214,0.0063146
0.736842,4,0.9971394,0.0141324,0.1831628,0.0684098,0.25244,0.0246134,0.9971398,0.0242594,0.0015032,0.0049128,0.0405044,0.0201974,0.0012894,0.00626,0.0015326,0.007433
0.763158,4,0.9949366,0.0184014,0.1658838,0.0710534,0.254117,0.0315424,0.9949424,0.0324298,0.0024176,0.0055102,0.0497884,0.012882,0.002123,0.007627,0.0024498,0.0085278
0.789474,4,0.9894878,0.0268778,0.1813244,0.0731444,0.2601228,0.047489,0.9894934,0.0468018,0.0054788,0.0090108,0.0622912,0.013037,0.0057552,0.013243,0.005519,0.0133658
0.815789,4,0.9866496,0.0274282,0.4921726,0.0688736,0.4972326,0.0261504,0.98665,0.0503426,0.0090834,0.0108322,0.070169,0.0164688,0.0027282,0.011166,0.009104,0.0194226
0.842105,4,0.990819,0.0240494,0.4859904,0.0593502,0.4987156,0.019284,0.9908142,0.0420612,0.006363,0.0095958,0.053098,0.0142984,0.0013882,0.0078078,0.006367,0.01646
0.868421,4,0.9883416,0.0240872,0.463226,0.077554,0.4985568,0.0204808,0.9883438,0.0468272,0.0068234,0.0066724,0.0254036,0.0203208,0.0009346,0.0056026,0.0068378,0.0141548
0.894737,4,0.9938682,0.0188538,0.4842276,0.06869,0.4994242,0.0154,0.9938664,0.0348044,0.0033308,0.0058976,0.0423424,0.0143074,0.0006764,0.0047396,0.0033622,0.010237
0.921053,4,0.99483,0.0177952,0.513943,0.0697324,0.4998006,0.0138786,0.9948348,0.0323054,0.0020068,0.0046638,0.0297872,0.0204938,0.0004236,0.00368,0.0020556,0.007204
0.947368,4,0.9947422,0.0174214,0.49225,0.060096,0.4998286,0.0133128,0.9947402,0.0323424,0.002283,0.004602,0.0297972,0.0134182,0.0004768,0.003447,0.0023254,0.007754
0.973684,4,0.9960432,0.0159468,0.5222318,0.0590546,0.5000854,0.0125268,0.9960388,0.028484,0.0018276,0.0043342,0.0749118,0.0137028,0.000598,0.0032108,0.001861,0.0073482
1,4,0.9957804,0.0158532,0.5138672,0.067758,0.5000384,0.0121258,0.9957836,0.0290748,0.00199,0.0045066,0.0542848,0.0121472,0.0004194,0.00331,0.0020144,0.0075382
0.5,6,0.001649,0.0097215,0.0018855,0.010885,0.0042735,0.029449,0.00165,0.013475,0.0011695,0.0043995,0.00131,0.0047825,0.0023245,0.0085145,0.0011885,0.005708
0.526316,6,0.002224,0.010715,0.0037105,0.0131715,0.0071185,0.0374175,0.0022245,0.0152865,0.001629,0.0047455,0.0026975,0.0052125,0.0037835,0.010085,0.001649,0.006374
0.552632,6,0.0072315,0.015804,0.0105965,0.019483,0.022117,0.0630395,0.0072265,0.025045,0.0068105,0.0067265,0.009283,0.0072245,0.0120055,0.016228,0.006826,0.0114215
0.578947,6,0.053651,0.025038,0.0112465,0.015204,0.089313,0.113818,0.053651,0.0611765,0.019383,0.009684,0.019206,0.0079455,0.013276,0.0064475,0.019452,0.0154715
0.605263,6,0.113351,0.0333955,0.001942,0.011561,0.14766,0.131937,0.113348,0.08828,0.013854,0.0100495,0.001607,0.0058285,0.0133075,0.003493,0.0139815,0.0060765
0.631579,6,0.6192345,0.039849,0.046948,0.0257845,0.1857145,0.081846,0.6192165,0.0720275,0.4356785,0.032684,0.0536575,0.0196995,0.0176275,0.0601515,0.435669,0.055446
