essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.5,2,0.0027778,0.0144288,0.00088,0.0081008,0.0018136,0.0300128,0.0027752,0.0507876,0.0009794,0.003238,0.0003204,0.0018452,0.0005564,0.0048882,0.0011144,0.0108676
0.526316,2,0.0031198,0.0155606,0.0010336,0.0085182,0.0020836,0.0321792,0.003112,0.0539318,0.0009828,0.0032028,0.0003512,0.0018892,0.0006004,0.0049076,0.0011472,0.0104984
0.552632,2,0.003558,0.0167678,0.0011084,0.0089088,0.00231,0.0338898,0.0035652,0.0575964,0.0013216,0.0038172,0.000372,0.001938,0.0006644,0.0051126,0.0014642,0.01254
0.578947,2,0.0048128,0.0188584,0.001301,0.0096836,0.0029256,0.0381238,0.0048092,0.0671206,0.0015912,0.0040732,0.0004642,0.0021224,0.000837,0.0056686,0.0017494,0.0127582
0.605263,2,0.0057208,0.0212088,0.0015416,0.0104742,0.003477,0.0415524,0.0057308,0.0731276,0.0020852,0.0045498,0.0005532,0.0022628,0.0009922,0.0061652,0.0022218,0.014934
0.631579,2,0.0089372,0.0263548,0.002355,0.0126042,0.0053954,0.0517142,0.0089504,0.0914402,0.0031942,0.0057206,0.0007874,0.0024102,0.0013932,0.006784,0.003338,0.0177344
0.657895,2,0.0232786,0.0433,0.0042802,0.015626,0.0124338,0.077317,0.0232888,0.1456128,0.0088538,0.009046,0.0015162,0.0031938,0.0036208,0.0110198,0.0090336,0.0285822
0.684211,2,0.9956652,0.0179138,0.4196318,0.1851066,0.4985014,0.0280864,0.9956654,0.0620576,0.002245,0.005704,0.1069738,0.0296284,0.001355,0.0109882,0.0023482,0.0181738
0.710526,2,0.9975374,0.013528,0.4482772,0.145327,0.4995174,0.0190122,0.9975374,0.0468136,0.0013498,0.004229,0.1664226,0.034007,0.0007032,0.0079082,0.0014284,0.0147748
0.736842,2,0.9978314,0.0124248,0.4339646,0.158727,0.4995668,0.0181542,0.9978332,0.0438238,0.0008526,0.0030828,0.0940678,0.0402164,0.0003838,0.0049502,0.0009688,0.010805
